stn,lat,lon,elev,state,name,flg1,flg2,wmo
ASN00002043,-18.3368,126.1243,160,NA,MOUNT KRAUSS,NA,NA,NA
ASN00002044,-16.1119,128.7414,163,NA,LAKE ARGYLE RESORT,NA,NA,NA
ASN00002046,-16.95,128.1,-999.9,NA,ADA VALE,NA,NA,NA
ASN00002047,-17.2631,127.4617,530,NA,BEDFORD DOWNS,NA,NA,NA
ASN00002048,-18.2972,128.4419,380,NA,FLORA VALLEY,NA,NA,NA
ASN00002049,-18.1947,127.8147,400,NA,SOPHIE DOWNS,NA,NA,NA
ASN00002050,-17.7842,127.6853,420,NA,SPRINGVALE,NA,NA,NA
ASN00002051,-19.5561,127.6644,305,NA,BILLILUNA,NA,NA,NA
ASN00002052,-15.8367,128.7397,40,NA,TROPICAL FARM - ORD RIVER,NA,NA,NA
ASN00002053,-17.6133,126.7442,400,NA,LANSDOWNE,NA,NA,NA
ASN00002055,-19.1,128.5333,-999.9,NA,LEWIS CREEK,NA,NA,NA
ASN00002056,-15.7814,128.71,44,NA,KUNUNURRA AERO,NA,NA,9421
ASN00002057,-17.4206,128.2992,320,NA,BUNGLE BUNGLE NATIONAL PARK,NA,NA,NA
ASN00002058,-18.35,128.4833,-999.9,NA,EUROTO,NA,NA,NA
ASN00002059,-18.4333,127.75,-999.9,NA,RUBY CREEK GOLDMINE,NA,NA,NA
ASN00002060,-16.0397,128.415,69,NA,KINGSTON REST,NA,NA,NA
ASN00002061,-19.2353,127.7692,354,NA,CARRANYA STATION,NA,NA,NA
ASN00002062,-18.4236,128.0314,310,NA,FOX RIVER,NA,NA,NA
ASN00002063,-19.8761,128.4581,470,NA,LARRANGANNI,NA,NA,NA
ASN00002064,-16.6381,128.4517,164,NA,ARGYLE AERODROME,NA,NA,9421
ASN00002065,-17.3936,126.2281,280,NA,MORNINGTON,NA,NA,NA
ASN00002066,-19.1764,127.6497,350,NA,CARRANYA 2,NA,NA,NA
ASN00002067,-15.9816,128.9991,80,NA,KUNUNURRA CHECKPOINT,NA,NA,NA
ASN00002069,-16.4433,127.7836,270,NA,KACHANA,NA,NA,NA
