stn,lat,lon,elev,state,name,flg1,flg2,wmo
ASN00014212,-12.7708,130.7456,25,NA,ANNIE RIVER,NA,NA,NA
ASN00014213,-12.2522,131.0428,20,NA,GUNN POINT PRISON FARM,NA,NA,NA
ASN00014214,-12.3933,130.8842,20,NA,ANULA,NA,NA,NA
ASN00014215,-12.6997,131,10,NA,BERRY SPRINGS RANGERS,NA,NA,NA
ASN00014216,-12.3622,130.8797,15,NA,CASUARINA,NA,NA,NA
ASN00014217,-12.47,130.8408,25,NA,DARWIN GOVERNMENT HOUSE,NA,NA,NA
ASN00014218,-12.4331,130.8409,20,NA,PARAP,NA,NA,NA
ASN00014219,-12.5491,131.0794,35,NA,MCMINNS LAGOON,NA,NA,NA
ASN00014220,-12.3633,130.875,15,NA,TIWI,NA,NA,NA
ASN00014221,-12.7546,130.8753,20,NA,MONGREL DOWNS,NA,NA,NA
ASN00014222,-12.6374,131.0763,36,NA,ELIZABETH VALLEY,NA,NA,NA
ASN00014223,-12.5717,131.07,36,NA,MILLAR,NA,NA,NA
ASN00014224,-13.8062,132.197,179,NA,WANDIE CREEK,NA,NA,NA
ASN00014225,-12.5583,131.15,44,NA,STRANGWAYS,NA,NA,NA
ASN00014226,-12.5764,131.0829,30,NA,HUMPTY DOO COLLARD ROAD,NA,NA,NA
ASN00014227,-12.3887,130.9248,16,NA,KARAMA,NA,NA,NA
ASN00014228,-13.59,132.6033,290,NA,CORONATION HILL,NA,NA,NA
ASN00014230,-12.6975,132.3681,40,NA,KAPALGA  CSIRO,NA,NA,NA
ASN00014232,-13.205,130.985,168,NA,THE FRUITERIUM,NA,NA,NA
ASN00014233,-13.0533,131.0267,104,NA,BATCHELOR AERODROME,NA,NA,NA
ASN00014234,-13.2167,131.375,120,NA,GOODALL MINE,NA,NA,NA
ASN00014235,-12.4019,130.8961,30,NA,NORTHLAKES,NA,NA,NA
ASN00014237,-13.2287,131.1355,60,NA,MOUNT BUNDEY,NA,NA,NA
ASN00014238,-12.4346,130.7491,30,NA,WAGAIT BEACH,NA,NA,NA
ASN00014239,-13.1129,130.4937,45,NA,LABELLE DOWNS,NA,NA,NA
ASN00014240,-12.9612,131.1667,55,NA,LAKE BENNETT,NA,NA,NA
ASN00014241,-12.6383,130.37,6,NA,DUM IN MIRRIE,NA,NA,NA
ASN00014242,-11.1233,132.1317,10,NA,SMITH POINT,NA,NA,NA
ASN00014243,-12.8017,131.0617,50,NA,AWILLAWAY,NA,NA,NA
ASN00014244,-12.7642,131.1597,20,NA,ACACIA HILLS,NA,NA,NA
ASN00014245,-11.3081,131.7651,19,NA,CAPE DON,NA,NA,9412
ASN00014246,-12.3784,130.9057,10,NA,LEANYER,NA,NA,NA
ASN00014247,-12.75,131.4817,30,NA,THE ROSE GARDENS,NA,NA,NA
ASN00014248,-12.8372,131.5672,40,NA,TOMS GULLY GOLD MINE,NA,NA,NA
ASN00014249,-11.2038,132.0527,3,NA,SEVEN SPIRIT BAY,NA,NA,NA
ASN00014250,-12.5047,130.9747,15,NA,WOODROFFE,NA,NA,NA
ASN00014251,-13.5548,132.2731,220,NA,MARY RIVER RANGERS,NA,NA,NA
ASN00014252,-12.6759,132.4803,10,NA,SOUTH ALLIGATOR RESORT,NA,NA,NA
ASN00014253,-13.1672,130.1225,3,NA,CHANNEL POINT,NA,NA,9412
ASN00014254,-12.2435,131.8785,1,NA,POINT STUART AWS,NA,NA,9412
ASN00014255,-11.1597,132.1572,5,NA,THUNDER ROCK,NA,NA,NA
ASN00014256,-12.9038,132.5255,40,NA,COOINDA AERODROME,NA,NA,NA
ASN00014257,-12.7624,131.5007,30,NA,CORROBOREE PARK,NA,NA,NA
ASN00014258,-12.6586,131.7125,30,NA,WILDMAN RANGERS,NA,NA,NA
ASN00014259,-12.3602,130.9829,6,NA,SHOAL BAY,NA,NA,NA
ASN00014260,-12.4819,130.8978,10,NA,EAST ARM,NA,NA,NA
ASN00014261,-12.4261,130.853,2,NA,LUDMILLA,NA,NA,NA
ASN00014263,-12.5858,131.7609,25,NA,POINT STUART,NA,NA,NA
ASN00014264,-12.7121,130.9889,10,NA,TERRITORY WILDLIFE PARK,NA,NA,NA
ASN00014265,-12.4126,130.9202,30,NA,CSIRO BERRIMAH,NA,NA,NA
ASN00014266,-12.4121,130.9669,25,NA,THORAK CEMETERY,NA,NA,NA
ASN00014267,-12.4471,130.7665,2,NA,MANDORAH,NA,NA,NA
ASN00014268,-13.1381,131.1095,70,NA,PELL AIRSTRIP,NA,NA,NA
ASN00014269,-12.5446,131.1475,30,NA,HUMPTY DOO EVAN ROAD,NA,NA,NA
ASN00014270,-12.3833,130.85,16,NA,NIGHTCLIFF SPORTS CLUB,NA,NA,NA
ASN00014271,-12.4245,132.9634,11,NA,BORDER STORE,NA,NA,NA
ASN00014272,-13.0545,131.0252,104,NA,BATCHELOR AERO,NA,NA,9412
ASN00014274,-11.0468,132.9791,1.4,NA,MCCLUER ISLAND,NA,NA,9413
ASN00014275,-12.7164,131.8206,55,NA,WILDMAN RANGERS,NA,NA,NA
ASN00014276,-12.6415,131.8851,30,NA,WILDMAN RIVER PLANTATIONS,NA,NA,NA
ASN00014277,-12.635,130.3725,3.5,NA,DUM IN MIRRIE AWS,NA,NA,9411
ASN00014278,-12.6114,131.6236,2,NA,MARRAKAI,NA,NA,NA
ASN00014279,-13.0807,130.6927,140,NA,WALKER CREEK,NA,NA,NA
ASN00014280,-12.4142,130.8586,20,NA,DARWIN RAAF GOLF CLUB,NA,NA,NA
ASN00014281,-12.4035,131.9815,7,NA,CARMOR PLAINS,NA,NA,NA
ASN00014282,-14.0993,131.8019,180,NA,CLARAVALE,NA,NA,NA
ASN00014283,-12.9283,131.4983,60,NA,RUSTLERS ROOST,NA,NA,NA
ASN00014284,-12.6827,132.4736,15,NA,SOUTH ALLIGATOR RANGERS,NA,NA,NA
ASN00014285,-12.3551,130.8857,20,NA,DARWIN HOSPITAL,NA,NA,NA
ASN00014286,-12.0927,132.8864,40,NA,MOUNT BORRADAILE,NA,NA,NA
ASN00014287,-12.5015,130.9642,15,NA,MARLOW LAGOON,NA,NA,NA
ASN00014288,-11.7782,130.5579,63,NA,NGUIU FARM,NA,NA,NA
ASN00014289,-12.3723,130.8665,10,NA,CHARLES DARWIN UNIVERSITY,NA,NA,NA
ASN00014291,-12.8038,132.1234,48,NA,KAKADU NORTHERN ENTRY STATION,NA,NA,NA
ASN00014400,-12.0482,134.2263,11,NA,MANINGRIDA,NA,NA,NA
ASN00014401,-11.6502,133.3796,19.2,NA,WARRUWI,NA,NA,9413
ASN00014402,-12.1239,134.9078,4,NA,MILINGIMBI,NA,NA,NA
ASN00014403,-12.334,134.9293,25,NA,RAMINGINING,NA,NA,NA
ASN00014404,-12.0931,134.8919,15,NA,MILINGIMBI AWS,NA,NA,9414
ASN00014405,-12.0569,134.2339,28.1,NA,MANINGRIDA AERO,NA,NA,9514
ASN00014407,-12.3567,134.8976,51,NA,RAMINGINING AIRPORT,NA,NA,NA
ASN00014408,-12.1924,136.6844,-999.9,NA,ALCAN REFINERY,NA,NA,NA
ASN00014501,-12.2561,136.8979,7,NA,YIRRKALA TROPICAL GARDENS,NA,NA,NA
ASN00014502,-12.25,136.8833,9.4,NA,YIRRKALA MISSION,NA,NA,NA
ASN00014503,-13.8333,136.8333,12,NA,UMBAKUMBA,NA,NA,NA
ASN00014504,-12.028,135.5648,18,NA,GALIWINKU,NA,NA,NA
ASN00014505,-14.2785,135.7424,10,NA,NUMBULWAR,NA,NA,NA
ASN00014506,-13.9833,136.4333,14,NA,ANGURUGU,NA,NA,NA
ASN00014507,-13.8483,136.4198,20,NA,ALYANGULA POLICE,NA,NA,9414
ASN00014508,-12.2741,136.8203,51.6,NA,GOVE AIRPORT,GS,N,9415
ASN00014509,-12.2609,136.8391,20,NA,ALCAN MINESITE,NA,NA,NA
ASN00014510,-13.8333,136.4417,5,NA,BARTALUMBA BAY,NA,NA,NA
ASN00014511,-13.9761,136.4616,14,NA,GROOTE EYLANDT AIRPORT,NA,NA,NA
ASN00014512,-12.1939,136.7637,20,NA,NHULUNBUY DTW,NA,NA,NA
ASN00014513,-12.1933,136.71,7,NA,WALLABY BEACH,NA,NA,NA
ASN00014514,-14.05,131.2833,80,NA,THEYONA,NA,NA,NA
ASN00014515,-12.5013,135.8001,70,NA,LAKE EVELLA,NA,NA,NA
ASN00014516,-13.7821,136.1954,6,NA,BICKERTON ISLAND,NA,NA,NA
ASN00014517,-11.9971,135.5726,8.1,NA,NGAYAWILI,NA,NA,9514
ASN00014518,-13.9747,136.4631,13.7,NA,GROOTE EYLANDT AIRPORT AWS,NA,NA,9415
ASN00014519,-11.9171,136.5317,-999.9,NA,CAPE WILBERFORCE,NA,NA,NA
ASN00014600,-13.9521,133.9637,162,NA,MAINORU OUTSTATION STORE,NA,NA,NA
ASN00014601,-15.6548,132.6718,180,NA,WESTERN CREEK,NA,NA,NA
ASN00014602,-14.1394,134.4742,60,NA,WONGALARA,NA,NA,NA
ASN00014603,-14.2905,133.4099,268,NA,WATERHOUSE,NA,NA,NA
ASN00014605,-14.823,133.7013,75,NA,MOROAK,NA,NA,NA
ASN00014606,-14.5139,132.9418,244,NA,TANDANGLE HILL,NA,NA,NA
ASN00014607,-16.1891,133.3286,304.4,NA,KALALA,NA,NA,NA
ASN00014608,-16.2553,133.3686,11.6,NA,SAINT VIDGEON,NA,NA,NA
ASN00014609,-14.7295,134.7274,34,NA,NGUKURR,NA,NA,9414
ASN00014610,-14.923,133.132,150,NA,MATARANKA HOMESTEAD RESORT,NA,NA,NA
ASN00014611,-16.6793,133.4131,229,NA,DUNMARA ROADHOUSE,NA,NA,NA
ASN00014612,-15.5748,133.2138,180,NA,LARRIMAH,NA,NA,9423
ASN00014613,-15.8326,133.4008,190,NA,MARYFIELD,NA,NA,NA
ASN00014614,-15.2203,134.0822,52,NA,HODGSON DOWNS,NA,NA,NA
ASN00014615,-14.5167,132.8633,61,NA,BAMYILI,NA,NA,NA
ASN00014616,-14.7103,134.5669,37,NA,URAPUNGA,NA,NA,NA
ASN00014617,-14.9289,134.0078,69,NA,ROPER VALLEY,NA,NA,NA
ASN00014618,-16.253,133.37,211.8,NA,DALY WATERS,NA,NA,NA
ASN00014619,-15.6517,132.6667,201.3,NA,LARRIMAH RAILWAY,NA,NA,NA
ASN00014620,-14.7167,134.505,32,NA,ROPER RIVER POLICE,NA,NA,NA
ASN00014621,-15.8087,134.1477,183,NA,NUTWOOD DOWNS,NA,NA,NA
ASN00014622,-15.6,133.25,180,NA,BIRDUM,NA,NA,NA
ASN00014623,-14.9573,133.3299,107,NA,ELSEY,NA,NA,NA
ASN00014624,-14.5552,133.1162,150,NA,BESWICK,NA,NA,NA
ASN00014625,-14.0835,133.8107,240,NA,MOUNTAIN VALLEY,NA,NA,NA
ASN00014626,-16.2636,133.3782,209.8,NA,DALY WATERS AWS,NA,NA,9423
ASN00014627,-13.6714,134.3414,103.4,NA,BULMAN AWS,NA,NA,9414
ASN00014628,-16.455,134.6504,165,NA,TANUMBIRINI,NA,NA,NA
ASN00014629,-13.6667,134.3333,192,NA,BULMAN,NA,NA,NA
ASN00014630,-14.75,135.3333,4,NA,PORT ROPER,NA,NA,NA
ASN00014631,-15.6333,133.2,181.4,NA,BIRDUM AERO,NA,NA,NA
ASN00014633,-14.7356,134.5291,18,NA,ROPER BAR STORE,NA,NA,NA
ASN00014634,-13.8333,133.45,360,NA,FLYING FOX,NA,NA,NA
ASN00014635,-16.3167,133.3833,218,NA,DALY WATERS HI-WAY INN,NA,NA,NA
ASN00014636,-16.5481,132.9036,198,NA,HIDDEN VALLEY,NA,NA,NA
ASN00014637,-14.0409,134.0945,99,NA,MAINORU,NA,NA,NA
ASN00014638,-15.527,132.6533,175,NA,GORRIE,NA,NA,NA
ASN00014639,-15.9179,132.3831,210,NA,GILNOCKIE,NA,NA,NA
ASN00014640,-13.6647,134.3309,200,NA,BULMAN,NA,NA,NA
ASN00014641,-14.924,133.0624,140,NA,MATARANKA COUNCIL,NA,NA,NA
ASN00014642,-14.8384,132.9678,145,NA,MATARANKA STATION,NA,NA,NA
ASN00014643,-14.8303,135.1978,15,NA,ROPER AQUAFARM,NA,NA,NA
ASN00014644,-15.0041,133.077,148,NA,COODARDIE,NA,NA,NA
ASN00014645,-15.2654,135.5016,10,NA,LIMMEN RIVER,NA,NA,NA
ASN00014646,-14.8528,134.036,58,NA,FLYING FOX,NA,NA,NA
ASN00014647,-15.2712,132.9127,160,NA,LAKEFIELD,NA,NA,NA
ASN00014648,-14.134,133.1094,322,NA,WEST WATERHOUSE,NA,NA,NA
ASN00014649,-14.9217,134.0587,80,NA,NUMUL NUMUL,NA,NA,NA
ASN00014650,-14.9147,133.127,125,NA,CAVE CREEK STATION,NA,NA,NA
ASN00014651,-13.8269,133.3277,384,NA,SNOWDROP CREEK,NA,NA,NA
ASN00014652,-14.5264,132.8006,232,NA,MARANBOY HILL,NA,NA,NA
ASN00014653,-14.2573,133.5942,135,NA,CONWAYS,NA,NA,NA
ASN00014654,-14.3295,133.1176,221,NA,CENTRAL WATERHOUSE,NA,NA,NA
ASN00014700,-16.7314,135.7386,88,NA,BALBIRINI,NA,NA,NA
ASN00014701,-16.2161,135.4686,104,NA,BAUHINIA DOWNS,NA,NA,NA
ASN00014702,-16.9756,135.8132,195,NA,MALLAPUNYAH,NA,NA,NA
ASN00014703,-15.7426,136.8192,12.2,NA,CENTRE ISLAND,NA,NA,9424
ASN00014704,-16.4423,136.076,40,NA,MCARTHUR RIVER MINE,NA,NA,9423
ASN00014705,-17.2314,137.3308,183,NA,CALVERT HILLS,NA,NA,NA
ASN00014706,-16.7622,136.9789,65,NA,ROBINSON RIVER,NA,NA,NA
ASN00014707,-17.2122,137.9462,60,NA,WOLLOGORANG,NA,NA,9425
ASN00014708,-15.6228,136.3538,6.1,NA,BING BONG,NA,NA,NA
ASN00014709,-16.2783,137.08,28,NA,GREENBANK,NA,NA,NA
ASN00014710,-16.0667,136.3,17,NA,BORROLOOLA,NA,NA,NA
ASN00014711,-15.8333,137.05,4,NA,VANDERLIN ISLAND MIMETS,NA,NA,NA
ASN00014712,-15.5756,134.0952,110,NA,HODGSON RIVER,NA,NA,NA
ASN00014713,-19.1385,137.8736,276,NA,GALLIPOLI,NA,NA,NA
ASN00014714,-16.0667,136.3,18.3,NA,BORROLOOLA WELFARE,NA,NA,NA
ASN00014715,-16.6597,135.852,61,NA,MCARTHUR RIVER STATION,NA,NA,NA
ASN00014716,-16.4475,135.2167,152,NA,BROADMERE,NA,NA,NA
ASN00014718,-17.1916,137.7429,195,NA,REDBANK MINE,NA,NA,NA
ASN00014719,-15.5789,135.4271,30,NA,NATHAN RIVER,NA,NA,NA
ASN00014720,-17.9178,136.9051,229,NA,BENMARA,NA,NA,NA
ASN00014721,-16.7167,137.4167,50,NA,PUNGALINA,NA,NA,NA
ASN00014722,-16.6831,135.7268,67,NA,CAPE CRAWFORD,NA,NA,NA
ASN00014723,-16.0757,136.3041,16.1,NA,BORROLOOLA,NA,NA,9415
ASN00014724,-17.1033,136.01,244,NA,MCCANTS SPRING,NA,NA,NA
ASN00014726,-16.054,136.3042,30,NA,BORROLOOLA POLICE,NA,NA,NA
ASN00014727,-16.2308,136.765,40,NA,DOOLGARINA,NA,NA,NA
ASN00014728,-16.2694,136.8769,30,NA,BUJANA,NA,NA,NA
ASN00014729,-15.6293,136.3881,4,NA,BING BONG PORT,NA,NA,NA
ASN00014730,-14.1055,133.3422,262,NA,UPPER WATERHOUSE RIVER,NA,NA,NA
ASN00014732,-15.9332,136.4778,7,NA,KING ASH BAY,NA,NA,NA
ASN00014800,-16.2566,131.7531,237,NA,KILLARNEY,NA,NA,NA
ASN00014801,-16.4833,130.6167,105,NA,HUMBERT RIVER,NA,NA,NA
ASN00014802,-17.0365,131.2941,186,NA,CAMFIELD,NA,NA,NA
ASN00014803,-15.2085,129.4502,26,NA,LEGUNE,NA,NA,NA
ASN00014804,-15.5667,130.9333,33.5,NA,FITZROY,NA,NA,NA
ASN00014806,-16.4155,132.0857,209,NA,BIRRIMBA,NA,NA,NA
ASN00014807,-16.6652,131.7642,174,NA,MONTEJINNI,NA,NA,NA
ASN00014809,-19.9655,129.7134,437,NA,TANAMI MINE,NA,NA,NA
ASN00014810,-15.4667,129.7675,6,NA,BULLO RIVER,NA,NA,NA
ASN00014811,-15.4167,130.7,30,NA,VICTORIA RIVER DEPOT,NA,NA,NA
ASN00014812,-17.0867,129.0533,157,NA,MISTAKE CREEK,NA,NA,NA
ASN00014813,-15.5517,130.9583,40,NA,COOLIBAH,NA,NA,NA
ASN00014814,-15.6844,130.0098,18,NA,AUVERGNE,NA,NA,NA
ASN00014815,-16.6346,129.3282,140,NA,WATERLOO,NA,NA,NA
ASN00014816,-15.7372,131.5345,102,NA,OLD DELAMERE,NA,NA,NA
ASN00014817,-15.3482,130.2763,26,NA,BRADSHAW HOMESTEAD,NA,NA,NA
ASN00014818,-16.6317,131.8333,175,NA,TOP SPRINGS,NA,NA,NA
ASN00014819,-16.4322,129.6156,69,NA,AMANBIDJI,NA,NA,NA
ASN00014820,-16.0498,129.2649,101,NA,NEWRY,NA,NA,NA
ASN00014821,-16.4583,129.0058,137,NA,ROSEWOOD,NA,NA,NA
ASN00014822,-15.6467,130.4756,14,NA,TIMBER CREEK POLICE,NA,NA,NA
ASN00014823,-17.2297,129.8874,380,NA,LIMBUNYA,NA,NA,NA
ASN00014824,-16.1196,130.4282,160,NA,BULLITA,NA,NA,NA
ASN00014825,-16.403,131.0145,88.5,NA,VICTORIA RIVER DOWNS,NA,NA,9423
ASN00014827,-15.65,130.5,60,NA,TIMBER CREEK CDW,NA,NA,NA
ASN00014828,-16.3896,131.5573,179,NA,SHOEING TOOL BORE,NA,NA,NA
ASN00014829,-18.3325,130.6358,315.6,NA,LAJAMANU,NA,NA,9423
ASN00014830,-17.5966,131.5444,189,NA,CATTLE CREEK,NA,NA,NA
ASN00014831,-17.9041,130.2268,323,NA,RIVEREN,NA,NA,NA
ASN00014832,-17.3833,130.8667,200,NA,WAVE HILL POST OFFICE,NA,NA,NA
ASN00014833,-17.4466,130.8391,167,NA,KALKARINGI POLICE,NA,NA,NA
ASN00014834,-17.4833,130.95,213.4,NA,WAVE HILL OLD STATION,NA,NA,NA
ASN00014835,-17.7333,129.24,379,NA,KIRKIMBIE,NA,NA,NA
ASN00014836,-17.8484,129.6361,403,NA,INVERWAY,NA,NA,NA
ASN00014837,-15.4167,129.1667,20,NA,KEEP RIVER NTA,NA,NA,NA
ASN00014839,-15.6283,131.6357,153,NA,DELAMERE,NA,NA,NA
ASN00014840,-17.3871,131.1166,196,NA,WAVE HILL,NA,NA,9422
ASN00014841,-16.8141,131.2195,110,NA,PIGEON HOLE COMMUNITY,NA,NA,NA
ASN00014844,-17.45,130.8,152.4,NA,WAVE HILL CATTLE STATION,NA,NA,NA
ASN00014846,-16.5478,131.7883,200,NA,TOP SPRINGS DTW,NA,NA,NA
ASN00014847,-16.1176,130.9558,100,NA,KIDMAN SPRINGS,NA,NA,9423
ASN00014848,-15.6193,131.1281,38,NA,VICTORIA RIVER ROADHOUSE,NA,NA,NA
ASN00014849,-17.4167,130.8333,180,NA,BOW HILLS POLICE,NA,NA,NA
ASN00014850,-15.6614,130.4808,20.1,NA,TIMBER CREEK,NA,NA,9422
ASN00014851,-16.7967,132.2333,265,NA,DUNGOWAN,NA,NA,NA
ASN00014852,-17.9977,129.3459,400,NA,BUNDA,NA,NA,NA
ASN00014853,-15.97,129.0407,100,NA,KEEP RIVER RANGERS,NA,NA,NA
ASN00014854,-17.8581,130.8841,250,NA,SUNSHINE BORE,NA,NA,NA
ASN00014855,-17.3354,129.2892,290,NA,NELSON SPRINGS,NA,NA,NA
ASN00014856,-18.3902,129.4299,370,NA,BIRRINDUDU,NA,NA,NA
ASN00014857,-19.2798,129.9422,452,NA,SUPLEJACK,NA,NA,NA
ASN00014858,-16.5436,131.7965,200,NA,TOP SPRINGS ROADHOUSE,NA,NA,NA
ASN00014859,-19.8765,129.6269,410,NA,TANAMI MINE BOREFIELDS,NA,NA,NA
ASN00014860,-15.8236,131.8367,220,NA,TINKER HILL,NA,NA,NA
ASN00014861,-15.4422,129.0197,25,NA,SPIRIT HILLS,NA,NA,NA
ASN00014864,-16.3541,131.5147,120,NA,MOOLOOLOO,NA,NA,NA
ASN00014865,-16.9818,130.5599,220,NA,MOUNT SANFORD,NA,NA,NA
ASN00014866,-17.6129,130.0713,406,NA,UPPER VICTORIA RIVER,NA,NA,NA
ASN00014867,-16.9567,130.5675,242,NA,UPPER WICKHAM RIVER,NA,NA,NA
ASN00014868,-16.8525,131.1597,145,NA,PIGEON HOLE,NA,NA,NA
ASN00014900,-15.244,132.155,180,NA,DRY RIVER,NA,NA,NA
ASN00014901,-13.8345,131.1872,42.8,NA,DOUGLAS RIVER,NA,NA,9412
ASN00014902,-14.4589,132.2572,106.9,NA,KATHERINE COUNCIL,NA,NA,NA
ASN00014903,-14.4437,132.2737,108,NA,KATHERINE AVIATION MUSEUM,NA,NA,9413
ASN00014904,-14.4833,132.25,120.1,NA,KATHERINE EXP. FARM,NA,NA,NA
ASN00014905,-14.2403,129.5215,11,NA,PORT KEATS POLICE,NA,NA,NA
ASN00014906,-14.2,130.9,87,NA,FISH RIVER,NA,NA,NA
ASN00014907,-13.4277,130.4936,30,NA,LITCHFIELD,NA,NA,NA
ASN00014908,-13.6817,130.6367,15,NA,WOOLIANA,NA,NA,NA
ASN00014909,-13.3275,133.0861,416,NA,CENTRAL ARNHEM PLATEAU,NA,NA,9414
ASN00014910,-14.4741,132.3053,109.7,NA,KATHERINE RESEARCH FARM,NA,NA,NA
ASN00014911,-14.3483,131.5767,61,NA,CLARAVALE,NA,NA,NA
ASN00014912,-13.8653,131.8806,170.7,NA,BONROOK,NA,NA,NA
ASN00014913,-13.7447,130.4935,36,NA,ELIZABETH DOWNS,NA,NA,NA
ASN00014914,-13.7508,130.6886,67,NA,DALY RIVER MISSION,NA,NA,NA
ASN00014915,-14.45,132.25,120,NA,KATHERINE CDW,NA,NA,NA
ASN00014916,-13.7667,130.71,67,NA,DALY RIVER POLICE,NA,NA,NA
ASN00014917,-14.0155,131.6105,120,NA,JINDARE,NA,NA,NA
ASN00014918,-14.075,131.975,230,NA,FERGUSSON RIVER RAILWAY,NA,NA,NA
ASN00014919,-14.5266,132.7857,160,NA,MARANBOY,NA,NA,NA
ASN00014920,-13.8,131.8,189,NA,PINE CREEK CDW,NA,NA,NA
ASN00014921,-15.2869,131.5816,213,NA,WILLEROO,NA,NA,NA
ASN00014922,-13.7,130.6,68,NA,MOUNT LITCHFIELD,NA,NA,NA
ASN00014923,-14.5194,132.1978,107,NA,MANBULLOO,NA,NA,NA
ASN00014924,-14.235,129.4242,21,NA,INJUN BEACH,NA,NA,NA
ASN00014925,-13.7352,131.0437,73,NA,TIPPERARY,NA,NA,NA
ASN00014927,-14.3731,132.1566,142.3,NA,CDU KATHERINE RURAL CAMPUS,NA,NA,NA
ASN00014928,-15.3568,131.2736,238,NA,INNESVALE,NA,NA,NA
ASN00014929,-14.3833,132.4667,200,NA,CARPENTARIA GOLD MINE,NA,NA,NA
ASN00014932,-14.5229,132.3826,133.6,NA,TINDAL RAAF,GS,N,9413
ASN00014933,-13.8241,131.8372,189,NA,PINE CREEK,NA,NA,NA
ASN00014934,-13.6333,131.6333,213,NA,PINE CREEK WELCOME INN,NA,NA,NA
ASN00014935,-13.8167,131.8333,190,NA,PINE CREEK HOSPITAL,NA,NA,NA
ASN00014936,-13.4333,130.5,30,NA,FLYING FOX CREEK,NA,NA,NA
ASN00014937,-14.45,132.2667,400,NA,KATHERINE HOSPITAL,NA,NA,NA
ASN00014938,-13.7379,130.6834,15.2,NA,MANGO FARM,NA,NA,9411
ASN00014939,-14.8648,131.8443,146,NA,SCOTT CREEK,NA,NA,NA
ASN00014940,-14.4995,131.3469,99.2,NA,DORISVALE,NA,NA,NA
ASN00014941,-13.9156,131.2118,35,NA,OOLLOO,NA,NA,NA
ASN00014942,-14.28,132.8346,262,NA,EVA VALLEY,NA,NA,NA
ASN00014943,-13.615,131.8417,200,NA,FRANCES CREEK,NA,NA,NA
ASN00014944,-13.9406,131.2175,60,NA,GARABALDI,NA,NA,NA
ASN00014946,-13.8269,131.8242,280,NA,PINE CREEK GOLDFIELDS,NA,NA,NA
ASN00014947,-14.0106,132.2084,186,NA,UPPER FERGUSSON RIVER,NA,NA,NA
ASN00014948,-14.2495,129.5282,28,NA,PORT KEATS AERO,NA,NA,9511
ASN00014949,-15.7442,131.9182,221,NA,DELAMERE WEAPONS RANGE,NA,NA,9422
ASN00014950,-14.1243,132.6378,292,NA,MOUNT FELIX,NA,NA,NA
ASN00014951,-15.4219,132.2722,180,NA,MARGARET DOWNS,NA,NA,NA
ASN00014952,-14.5756,132.4713,175,NA,CUTTA CUTTA,NA,NA,NA
ASN00014954,-14.9408,130.8092,75,NA,BRADSHAW,NA,NA,9413
ASN00014955,-14.3202,132.4226,120,NA,NITMILUK RANGERS,NA,NA,NA
ASN00014956,-13.9487,131.3191,102,NA,BONALBO,NA,NA,NA
ASN00014957,-14.2911,131.9986,125,NA,ASYLUM,NA,NA,NA
ASN00014959,-14.4524,131.686,60,NA,FLORINA,NA,NA,NA
ASN00014960,-13.8242,131.8321,205.5,NA,PINE CREEK COUNCIL,NA,NA,9411
ASN00014961,-14.5543,132.2241,125,NA,MANBULLOO,NA,NA,NA
ASN00014962,-14.254,132.7357,282,NA,YEURALBA RIDGE,NA,NA,NA
ASN00014963,-13.8596,130.0031,30,NA,WUDIKAPILDIYERR,NA,NA,NA
ASN00014964,-14.1498,130.0758,20,NA,PEPPIMENARTI,NA,NA,NA
ASN00014965,-14.1882,132.3961,220,NA,UPPER SEVENTEEN MILE CREEK,NA,NA,NA
ASN00014966,-14.3148,132.4248,212,NA,NITMILUK RIDGE,NA,NA,NA
ASN00014967,-14.3055,132.0772,125,NA,EDITH FARMS ROAD,NA,NA,NA
ASN00014969,-14.3393,129.8648,21,NA,NGANMARRIYANGA,NA,NA,NA
ASN00014970,-14.1084,132.9004,218,NA,FANNY CREEK,NA,NA,NA
ASN00015001,-19.6539,134.0953,340,NA,CHARIOT MINE,NA,NA,NA
ASN00015004,-20.502,137.77440000000001,193,NA,AUSTRAL DOWNS,NA,NA,NA
ASN00015005,-20.0298,137.4906,205,NA,AVON DOWNS,NA,NA,NA
ASN00015015,-18.4336,133.8774,288,NA,HELEN SPRINGS,NA,NA,NA
ASN00015019,-20.9645,137.9214,194,NA,LAKE NASH,NA,NA,NA
ASN00015026,-19.6014,136.9078,250,NA,RANKEN RIVER,NA,NA,NA
ASN00015027,-18.9485,135.1934,224.6,NA,ROCKHAMPTON DOWNS,NA,NA,NA
ASN00015034,-19.8983,136.3358,240,NA,WONARAH,NA,NA,NA
ASN00015036,-19.2961,136.0711,229,NA,ALROY DOWNS,NA,NA,NA
ASN00015038,-17.945,135.9067,227,NA,CRESWELL DOWNS,NA,NA,NA
ASN00015040,-20.0518,137.018,225,NA,SOUDAN,NA,NA,NA
ASN00015041,-18.0014,134.8618,214,NA,EVA DOWNS,NA,NA,NA
ASN00015046,-15.5833,133.2167,184.4,NA,LARRIMAH POST OFFICE,NA,NA,NA
ASN00015067,-18.792,134.0297,299,NA,BANKA BANKA,NA,NA,NA
ASN00015075,-23.65,133.7833,492,NA,CHARLES RIVER CDW,NA,NA,NA
ASN00015079,-20.0467,136.67,290,NA,BARRY CAVES,NA,NA,NA
ASN00015080,-17.2183,133.8006,219,NA,BEETALOO,NA,NA,NA
