"AIRPORT_SEQ_ID","AIRPORT_ID","AIRPORT","DISPLAY_AIRPORT_NAME","DISPLAY_AIRPORT_CITY_NAME_FULL","AIRPORT_WAC","AIRPORT_COUNTRY_NAME","AIRPORT_COUNTRY_CODE_ISO","AIRPORT_STATE_NAME","AIRPORT_STATE_CODE","AIRPORT_STATE_FIPS","CITY_MARKET_ID","DISPLAY_CITY_MARKET_NAME_FULL","CITY_MARKET_WAC","LAT_DEGREES","LAT_HEMISPHERE","LAT_MINUTES","LAT_SECONDS","LATITUDE","LON_DEGREES","LON_HEMISPHERE","LON_MINUTES","LON_SECONDS","LONGITUDE","AIRPORT_START_DATE","AIRPORT_THRU_DATE","AIRPORT_IS_CLOSED","AIRPORT_IS_LATEST",
1364103,13641,"NDJ","Hassan Djamous","Ndjamena, Chad",511,"Chad","TD","","","",33641,"Ndjamena, Chad",511,12,"N",8,1,12.13361111,15,"E",2,2,15.03388889,2014-05-01,,0,1,
1364201,13642,"NDL","Ndele Airport","Ndele, Central African Republic",509,"Central African Republic","CF","","","",33642,"Ndele, Central African Republic",509,8,"N",25,36,8.42666667,20,"E",37,54,20.63166667,1976-03-01,1979-11-30,0,0,
1364202,13642,"NDL","Ndele Airport","Ndele, Central African Republic",509,"Central African Republic","CF","","","",33642,"Ndele, Central African Republic",509,8,"N",25,36,8.42666667,20,"E",37,54,20.63166667,1979-12-01,2011-06-30,0,0,
1364203,13642,"NDL","Ndele Airport","Ndele, Central African Republic",509,"Central African Republic","CF","","","",33642,"Ndele, Central African Republic",509,8,"N",25,37,8.42694444,20,"E",38,6,20.63500000,2011-07-01,,0,1,
1364301,13643,"NDR","El Aroui International","Nador, Morocco",548,"Morocco","MA","","","",33643,"Nador, Morocco",548,34,"N",59,21,34.98916667,3,"W",1,40,-3.02777778,2004-02-01,,0,1,
1364401,13644,"NDZ","Nordholz Airport","Nordholz, West Germany",429,"West Germany","DE","","","",33644,"Nordholz, West Germany",429,53,"N",46,8,53.76888889,8,"E",39,30,8.65833333,1990-01-01,1990-09-30,0,0,
1364402,13644,"NDZ","Nordholz-Spieka","Cuxhaven, Germany",429,"Germany","DE","","","",33644,"Cuxhaven, Germany",429,53,"N",46,8,53.76888889,8,"E",39,30,8.65833333,1990-10-01,2011-06-30,0,0,
1364403,13644,"NDZ","Nordholz-Spieka","Cuxhaven, Germany",429,"Germany","DE","","","",33644,"Cuxhaven, Germany",429,53,"N",45,59,53.76638889,8,"E",38,33,8.64250000,2011-07-01,2013-11-30,0,0,
1364404,13644,"NDZ","Nordholz-Spieka","Cuxhaven, Germany",429,"Germany","DE","","","",33644,"Cuxhaven, Germany",429,53,"N",46,1,53.76694444,8,"E",38,33,8.64250000,2013-12-01,,0,1,
1364501,13645,"NE1","Quinn Field","Gothenburg, NE",65,"United States","US","Nebraska","NE","31",33645,"Gothenburg, NE",65,40,"N",55,35,40.92638889,100,"W",8,54,-100.14833333,2007-01-01,2011-06-30,0,0,
1364502,13645,"NE1","Quinn Field","Gothenburg, NE",65,"United States","US","Nebraska","NE","31",33645,"Gothenburg, NE",65,40,"N",55,32,40.92555556,100,"W",8,48,-100.14666667,2011-07-01,,0,1,
1364601,13646,"NE2","Blair Municipal","Blair, NE",65,"United States","US","Nebraska","NE","31",33646,"Blair, NE",65,41,"N",25,5,41.41805556,96,"W",6,49,-96.11361111,2008-04-01,2011-06-30,0,0,
1364602,13646,"NE2","Blair Municipal","Blair, NE",65,"United States","US","Nebraska","NE","31",33646,"Blair, NE",65,41,"N",24,53,41.41472222,96,"W",6,32,-96.10888889,2011-07-01,,0,1,
1364701,13647,"NEA","Glynco NAS","Brunswick, GA",34,"United States","US","Georgia","GA","13",30731,"Brunswick, GA",34,31,"N",15,2,31.25055556,81,"W",28,34,-81.47611111,1950-01-01,1974-12-31,1,1,
1364801,13648,"NEG","Negril Airport","Negril, Jamaica",243,"Jamaica","JM","","","",33648,"Negril, Jamaica",243,18,"N",18,30,18.30833333,78,"W",20,0,-78.33333333,1977-09-01,2011-06-30,0,0,
1364802,13648,"NEG","Negril Airport","Negril, Jamaica",243,"Jamaica","JM","","","",33648,"Negril, Jamaica",243,18,"N",20,40,18.34444444,78,"W",20,11,-78.33638889,2011-07-01,2012-09-30,0,0,
1364803,13648,"NEG","Negril Airport","Negril, Jamaica",243,"Jamaica","JM","","","",33648,"Negril, Jamaica",243,18,"N",20,31,18.34194444,78,"W",20,3,-78.33416667,2012-10-01,,0,1,
1365001,13650,"NEL","Lakehurst Naec","Lakehurst, NJ",21,"United States","US","New Jersey","NJ","34",33650,"Lakehurst, NJ",21,40,"N",1,24,40.02333333,74,"W",23,57,-74.39916667,1987-12-01,2011-06-30,0,0,
1365002,13650,"NEL","Lakehurst/Maxfield Field","Lakehurst, NJ",21,"United States","US","New Jersey","NJ","34",33650,"Lakehurst, NJ",21,40,"N",2,6,40.03500000,74,"W",21,8,-74.35222222,2011-07-01,,0,1,
1365101,13651,"NER","Neryungri Airport","Neryungri, Russia",770,"Russia","RU","","","",33651,"Neryungri, Russia",770,56,"N",54,0,56.90000000,124,"E",53,0,124.88333333,1999-06-01,,0,1,
1365201,13652,"NET","New Bight Airport","New Bight, The Bahamas",204,"The Bahamas","BS","","","",33652,"New Bight, The Bahamas",204,24,"N",18,55,24.31527778,75,"W",27,15,-75.45416667,2008-04-01,2009-09-30,1,1,
1365301,13653,"NEU","Sam Neua Airport","Sam Neua, Laos",744,"Laos","LA","","","",33653,"Sam Neua, Laos",744,20,"N",24,53,20.41472222,104,"E",4,7,104.06861111,1991-04-01,2011-06-30,0,0,
1365302,13653,"NEU","Sam Neua Airport","Sam Neua, Laos",744,"Laos","LA","","","",33653,"Sam Neua, Laos",744,20,"N",25,6,20.41833333,104,"E",4,0,104.06666667,2011-07-01,2012-09-30,0,0,
1365303,13653,"NEU","Sam Neua Airport","Sam Neua, Laos",744,"Laos","LA","","","",33653,"Sam Neua, Laos",744,20,"N",25,6,20.41833333,104,"E",3,58,104.06611111,2012-10-01,2013-01-31,0,0,
1365304,13653,"NEU","Samneua","Sam Neua, Laos",744,"Laos","LA","","","",33653,"Sam Neua, Laos",744,20,"N",25,6,20.41833333,104,"E",3,58,104.06611111,2013-02-01,,0,1,
1365401,13654,"NEV","Newcastle","Nevis, Saint Kitts and Nevis - UK",261,"Saint Kitts and Nevis - UK","","","","",33654,"Nevis, Saint Kitts and Nevis - UK",261,17,"N",12,18,17.20500000,62,"W",35,33,-62.59250000,1971-07-01,1983-08-31,0,0,
1365402,13654,"NEV","Newcastle","Nevis, Saint Kitts and Nevis",275,"Saint Kitts and Nevis","KN","","","",33654,"Nevis, Saint Kitts and Nevis",275,17,"N",12,18,17.20500000,62,"W",35,33,-62.59250000,1983-09-01,2011-06-30,0,0,
1365403,13654,"NEV","Vance Winkworth Amory International","Nevis, Saint Kitts and Nevis",275,"Saint Kitts and Nevis","KN","","","",33654,"Nevis, Saint Kitts and Nevis",275,17,"N",12,20,17.20555556,62,"W",35,38,-62.59388889,2011-07-01,2013-01-31,0,0,
1365404,13654,"NEV","Vance Winkworth Amory International","Nevis, Saint Kitts and Nevis",275,"Saint Kitts and Nevis","KN","","","",33654,"Nevis, Saint Kitts and Nevis",275,17,"N",12,20,17.20555556,62,"W",35,24,-62.59000000,2013-02-01,2013-07-31,0,0,
1365405,13654,"NEV","Vance Winkworth Amory","Nevis, Saint Kitts and Nevis",275,"Saint Kitts and Nevis","KN","","","",33654,"Nevis, Saint Kitts and Nevis",275,17,"N",12,20,17.20555556,62,"W",35,24,-62.59000000,2013-08-01,,0,1,
1365501,13655,"NEW","Lakefront","New Orleans, LA",72,"United States","US","Louisiana","LA","22",33495,"New Orleans, LA",72,30,"N",2,22,30.03944444,90,"W",1,36,-90.02666667,1950-01-01,2011-06-30,0,0,
1365502,13655,"NEW","Lakefront","New Orleans, LA",72,"United States","US","Louisiana","LA","22",33495,"New Orleans, LA",72,30,"N",2,33,30.04250000,90,"W",1,42,-90.02833333,2011-07-01,,0,1,
1365601,13656,"NFL","Fallon NAS","Fallon, NV",85,"United States","US","Nevada","NV","32",31706,"Fallon, NV",85,39,"N",25,0,39.41666667,118,"W",42,0,-118.70000000,1950-01-01,2011-06-30,0,0,
1365602,13656,"NFL","Fallon NAS","Fallon, NV",85,"United States","US","Nevada","NV","32",31706,"Fallon, NV",85,39,"N",25,4,39.41777778,118,"W",41,55,-118.69861111,2011-07-01,,0,1,
1365701,13657,"NGA","Young Airport","Young, Australia",802,"Australia","AU","","","",33657,"Young, Australia",802,34,"S",15,30,-34.25833333,148,"E",15,0,148.25000000,1974-09-01,2011-06-30,0,0,
1365702,13657,"NGA","Young Airport","Young, Australia",802,"Australia","AU","","","",33657,"Young, Australia",802,34,"S",15,20,-34.25555556,148,"E",14,53,148.24805556,2011-07-01,,0,1,
1365801,13658,"NGB","Lishe","Ningbo, China",713,"China","CN","","","",33658,"Ningbo, China",713,29,"N",49,36,29.82666667,121,"E",27,43,121.46194444,1985-06-01,,0,1,
1365901,13659,"NGC","North Rim","Grand Canyon, AZ",81,"United States","US","Arizona","AZ","04",30463,"Grand Canyon, AZ",81,36,"N",11,0,36.18333333,112,"W",8,0,-112.13333333,1975-09-01,,0,1,
1366001,13660,"NGD","Anegada Airport","Anegada, British Virgin Islands",282,"British Virgin Islands","VG","","","",33660,"Anegada, British Virgin Islands",282,18,"N",43,0,18.71666667,64,"W",18,0,-64.30000000,1974-10-01,2011-06-30,0,0,
1366002,13660,"NGD","Anegada Airport","Anegada, British Virgin Islands",282,"British Virgin Islands","VG","","","",33660,"Anegada, British Virgin Islands",282,18,"N",43,40,18.72777778,64,"W",19,40,-64.32777778,2011-07-01,2011-09-30,0,0,
1366003,13660,"NGD","Anegada Airport","Anegada, British Virgin Islands",282,"British Virgin Islands","VG","","","",33660,"Anegada, British Virgin Islands",282,18,"N",43,40,18.72777778,64,"W",19,43,-64.32861111,2011-10-01,2013-07-31,0,0,
1366004,13660,"NGD","Auguste George","Anegada, British Virgin Islands",282,"British Virgin Islands","VG","","","",33660,"Anegada, British Virgin Islands",282,18,"N",43,39,18.72750000,64,"W",19,44,-64.32888889,2013-08-01,,0,1,
1366101,13661,"NGE","N'Gaoundere Airport","N'Gaoundere, Cameroon",504,"Cameroon","CM","","","",33661,"N'Gaoundere, Cameroon",504,7,"N",21,23,7.35638889,13,"E",33,41,13.56138889,1960-01-01,2011-06-30,0,0,
1366102,13661,"NGE","N'Gaoundere Airport","N'Gaoundere, Cameroon",504,"Cameroon","CM","","","",33661,"N'Gaoundere, Cameroon",504,7,"N",21,25,7.35694444,13,"E",33,33,13.55916667,2011-07-01,,0,1,
1366201,13662,"NGF","Kaneohe Bay MCAS","Kaneohe, HI",2,"United States","US","Hawaii","HI","15",33662,"Kaneohe, HI",2,21,"N",27,2,21.45055556,157,"W",46,5,-157.76805556,1987-03-01,,0,1,
1366301,13663,"NGM","Agana NAS","Guam, Guam",826,"Guam","GU","","","",32016,"Guam, Guam",826,13,"N",26,59,13.44972222,144,"E",45,0,144.75000000,1950-01-01,1989-12-31,0,0,
1366302,13663,"NGM","Agana NAS","Guam, TT",5,"United States","US","U.S. Pacific Trust Territories and Possessions","TT","75",32016,"Guam, TT",5,13,"N",26,59,13.44972222,144,"E",45,0,144.75000000,1990-01-01,,0,1,
1366401,13664,"NGO","Nagoya Airport","Nagoya, Japan",736,"Japan","JP","","","",33664,"Nagoya, Japan",736,35,"N",15,18,35.25500000,136,"E",55,28,136.92444444,1950-01-01,2005-01-31,0,0,
1366402,13664,"NKM","Nagoya - Komaki","Nagoya, Japan",736,"Japan","JP","","","",33664,"Nagoya, Japan",736,35,"N",15,18,35.25500000,136,"E",55,28,136.92444444,2005-02-01,2011-06-30,0,0,
1366403,13664,"NKM","Nagoya Airport","Nagoya, Japan",736,"Japan","JP","","","",33664,"Nagoya, Japan",736,35,"N",15,20,35.25555556,136,"E",55,28,136.92444444,2011-07-01,,0,1,
1366501,13665,"NGP","Corpus Christi NAS","Corpus Christi, TX",74,"United States","US","Texas","TX","48",31140,"Corpus Christi, TX",74,27,"N",41,34,27.69277778,97,"W",17,28,-97.29111111,1950-01-01,2011-06-30,0,0,
1366502,13665,"NGP","Corpus Christi NAS","Corpus Christi, TX",74,"United States","US","Texas","TX","48",31140,"Corpus Christi, TX",74,27,"N",41,34,27.69277778,97,"W",17,25,-97.29027778,2011-07-01,,0,1,
1366601,13666,"NGS","Nagasaki Airport","Nagasaki, Japan",736,"Japan","JP","","","",33666,"Nagasaki, Japan",736,32,"N",54,49,32.91361111,129,"E",54,57,129.91583333,1976-03-01,2011-06-30,0,0,
1366602,13666,"NGS","Nagasaki Airport","Nagasaki, Japan",736,"Japan","JP","","","",33666,"Nagasaki, Japan",736,32,"N",55,1,32.91694444,129,"E",54,49,129.91361111,2011-07-01,2011-09-30,0,0,
1366603,13666,"NGS","Nagasaki Airport","Nagasaki, Japan",736,"Japan","JP","","","",33666,"Nagasaki, Japan",736,32,"N",55,1,32.91694444,129,"E",54,48,129.91333333,2011-10-01,,0,1,
1366701,13667,"NGU","Norfolk NAS","Norfolk, VA",38,"United States","US","Virginia","VA","51",33667,"Norfolk, VA (Metropolitan Area)",38,36,"N",56,14,36.93722222,76,"W",17,26,-76.29055556,1950-01-01,2011-06-30,0,0,
