Sensor,Date_Time,Date,Time,Count
Flinders Street Station Underpass,2019-07-02T03:00:00Z,2019-07-02,13,2108
Melbourne Central,2019-07-02T04:00:00Z,2019-07-02,14,2209
Flinders Street Station Underpass,2019-07-02T04:00:00Z,2019-07-02,14,1921
Melbourne Central,2019-07-02T05:00:00Z,2019-07-02,15,2360
Flinders Street Station Underpass,2019-07-02T05:00:00Z,2019-07-02,15,2228
Melbourne Central,2019-07-02T06:00:00Z,2019-07-02,16,2346
Flinders Street Station Underpass,2019-07-02T06:00:00Z,2019-07-02,16,3206
Melbourne Central,2019-07-02T07:00:00Z,2019-07-02,17,2691
Flinders Street Station Underpass,2019-07-02T07:00:00Z,2019-07-02,17,5234
Melbourne Central,2019-07-02T08:00:00Z,2019-07-02,18,2491
Flinders Street Station Underpass,2019-07-02T08:00:00Z,2019-07-02,18,2788
Melbourne Central,2019-07-02T09:00:00Z,2019-07-02,19,2216
Flinders Street Station Underpass,2019-07-02T09:00:00Z,2019-07-02,19,1464
Melbourne Central,2019-07-02T10:00:00Z,2019-07-02,20,1725
Flinders Street Station Underpass,2019-07-02T10:00:00Z,2019-07-02,20,1076
Melbourne Central,2019-07-02T11:00:00Z,2019-07-02,21,1388
Flinders Street Station Underpass,2019-07-02T11:00:00Z,2019-07-02,21,984
Melbourne Central,2019-07-02T12:00:00Z,2019-07-02,22,872
Flinders Street Station Underpass,2019-07-02T12:00:00Z,2019-07-02,22,687
Melbourne Central,2019-07-02T13:00:00Z,2019-07-02,23,459
Flinders Street Station Underpass,2019-07-02T13:00:00Z,2019-07-02,23,395
Melbourne Central,2019-07-02T14:00:00Z,2019-07-03,0,252
Flinders Street Station Underpass,2019-07-02T14:00:00Z,2019-07-03,0,168
Melbourne Central,2019-07-02T15:00:00Z,2019-07-03,1,123
Flinders Street Station Underpass,2019-07-02T15:00:00Z,2019-07-03,1,40
Melbourne Central,2019-07-02T16:00:00Z,2019-07-03,2,64
Flinders Street Station Underpass,2019-07-02T16:00:00Z,2019-07-03,2,28
Melbourne Central,2019-07-02T17:00:00Z,2019-07-03,3,43
Flinders Street Station Underpass,2019-07-02T17:00:00Z,2019-07-03,3,19
Melbourne Central,2019-07-02T18:00:00Z,2019-07-03,4,34
Flinders Street Station Underpass,2019-07-02T18:00:00Z,2019-07-03,4,43
Melbourne Central,2019-07-02T19:00:00Z,2019-07-03,5,105
Flinders Street Station Underpass,2019-07-02T19:00:00Z,2019-07-03,5,245
Melbourne Central,2019-07-02T20:00:00Z,2019-07-03,6,192
Flinders Street Station Underpass,2019-07-02T20:00:00Z,2019-07-03,6,999
Melbourne Central,2019-07-02T21:00:00Z,2019-07-03,7,297
Flinders Street Station Underpass,2019-07-02T21:00:00Z,2019-07-03,7,1854
Melbourne Central,2019-07-02T22:00:00Z,2019-07-03,8,592
Flinders Street Station Underpass,2019-07-02T22:00:00Z,2019-07-03,8,3768
Melbourne Central,2019-07-02T23:00:00Z,2019-07-03,9,760
Flinders Street Station Underpass,2019-07-02T23:00:00Z,2019-07-03,9,2084
Melbourne Central,2019-07-03T00:00:00Z,2019-07-03,10,757
Flinders Street Station Underpass,2019-07-03T00:00:00Z,2019-07-03,10,1201
Melbourne Central,2019-07-03T01:00:00Z,2019-07-03,11,1414
Flinders Street Station Underpass,2019-07-03T01:00:00Z,2019-07-03,11,1393
Melbourne Central,2019-07-03T02:00:00Z,2019-07-03,12,2224
Flinders Street Station Underpass,2019-07-03T02:00:00Z,2019-07-03,12,2244
Melbourne Central,2019-07-03T03:00:00Z,2019-07-03,13,2495
Flinders Street Station Underpass,2019-07-03T03:00:00Z,2019-07-03,13,2231
Melbourne Central,2019-07-03T04:00:00Z,2019-07-03,14,2250
Flinders Street Station Underpass,2019-07-03T04:00:00Z,2019-07-03,14,1956
Melbourne Central,2019-07-03T05:00:00Z,2019-07-03,15,2367
Flinders Street Station Underpass,2019-07-03T05:00:00Z,2019-07-03,15,2168
Melbourne Central,2019-07-03T06:00:00Z,2019-07-03,16,2262
Flinders Street Station Underpass,2019-07-03T06:00:00Z,2019-07-03,16,2931
Melbourne Central,2019-07-03T07:00:00Z,2019-07-03,17,2762
Flinders Street Station Underpass,2019-07-03T07:00:00Z,2019-07-03,17,5089
Melbourne Central,2019-07-03T08:00:00Z,2019-07-03,18,2754
Flinders Street Station Underpass,2019-07-03T08:00:00Z,2019-07-03,18,2792
Melbourne Central,2019-07-03T09:00:00Z,2019-07-03,19,2441
Flinders Street Station Underpass,2019-07-03T09:00:00Z,2019-07-03,19,1692
Melbourne Central,2019-07-03T10:00:00Z,2019-07-03,20,2050
Flinders Street Station Underpass,2019-07-03T10:00:00Z,2019-07-03,20,1300
Melbourne Central,2019-07-03T11:00:00Z,2019-07-03,21,1532
Flinders Street Station Underpass,2019-07-03T11:00:00Z,2019-07-03,21,1102
Melbourne Central,2019-07-03T12:00:00Z,2019-07-03,22,916
Flinders Street Station Underpass,2019-07-03T12:00:00Z,2019-07-03,22,683
Melbourne Central,2019-07-03T13:00:00Z,2019-07-03,23,568
Flinders Street Station Underpass,2019-07-03T13:00:00Z,2019-07-03,23,491
Melbourne Central,2019-07-03T14:00:00Z,2019-07-04,0,261
Flinders Street Station Underpass,2019-07-03T14:00:00Z,2019-07-04,0,174
Melbourne Central,2019-07-03T15:00:00Z,2019-07-04,1,153
Flinders Street Station Underpass,2019-07-03T15:00:00Z,2019-07-04,1,47
Melbourne Central,2019-07-03T16:00:00Z,2019-07-04,2,44
Flinders Street Station Underpass,2019-07-03T16:00:00Z,2019-07-04,2,38
Melbourne Central,2019-07-03T17:00:00Z,2019-07-04,3,43
Flinders Street Station Underpass,2019-07-03T17:00:00Z,2019-07-04,3,30
Melbourne Central,2019-07-03T18:00:00Z,2019-07-04,4,24
Flinders Street Station Underpass,2019-07-03T18:00:00Z,2019-07-04,4,44
Melbourne Central,2019-07-03T19:00:00Z,2019-07-04,5,82
Flinders Street Station Underpass,2019-07-03T19:00:00Z,2019-07-04,5,225
Melbourne Central,2019-07-03T20:00:00Z,2019-07-04,6,167
Flinders Street Station Underpass,2019-07-03T20:00:00Z,2019-07-04,6,1017
Melbourne Central,2019-07-03T21:00:00Z,2019-07-04,7,282
Flinders Street Station Underpass,2019-07-03T21:00:00Z,2019-07-04,7,1756
Melbourne Central,2019-07-03T22:00:00Z,2019-07-04,8,590
Flinders Street Station Underpass,2019-07-03T22:00:00Z,2019-07-04,8,4006
Melbourne Central,2019-07-03T23:00:00Z,2019-07-04,9,646
Flinders Street Station Underpass,2019-07-03T23:00:00Z,2019-07-04,9,2175
Melbourne Central,2019-07-04T00:00:00Z,2019-07-04,10,805
Flinders Street Station Underpass,2019-07-04T00:00:00Z,2019-07-04,10,1251
Melbourne Central,2019-07-04T01:00:00Z,2019-07-04,11,1171
Flinders Street Station Underpass,2019-07-04T01:00:00Z,2019-07-04,11,1313
Melbourne Central,2019-07-04T02:00:00Z,2019-07-04,12,2025
Flinders Street Station Underpass,2019-07-04T02:00:00Z,2019-07-04,12,2187
Melbourne Central,2019-07-04T03:00:00Z,2019-07-04,13,2370
Flinders Street Station Underpass,2019-07-04T03:00:00Z,2019-07-04,13,2329
Melbourne Central,2019-07-04T04:00:00Z,2019-07-04,14,2210
