STUDENT_CODE,GROUP,Evaluation Group
28791061,4000,incRRRedible
28987454,4000,Lubridate
27858669,4000,Team SAMY
27826457,4000,incRRRedible
28584562,C L,incRRRedible
30029759,C L,ETC1010Group
28636287,C L,dplyr
28290968,C L,Team HD
27804623,dplyr,Tidyverse
28780655,dplyr,Team SAMY
28723201,dplyr,Electric R
28720091,dplyr,VITAE
29657695,Electric R,S.T.M
25195743,Electric R,Team S.T.A.T.
28714172,Electric R,Not the Swallows!
29510651,Electric R,Hardworking
28787781,ETC1010Group,FORCATS
27823822,ETC1010Group,Team HD
27840700,ETC1010Group,Hardworking
28740645,ETC1010Group,MDJLLSPHPL
30118611,FORCATS,Not the Swallows!
29233089,FORCATS,incRRRedible
29228794,FORCATS,The King Baboon
29775329,FORCATS,Lubridate
28123956,GROUP_FIVE,FORCATS
29202167,GROUP_FIVE,Python>R
29616603,GROUP_FIVE,4000
29658055,GROUP_FIVE,Team HD
29412129,Hardworking,4000
29976774,Hardworking,MDJLLSPHPL
29070627,Hardworking,C L
27135519,Hardworking,C L
27852563,incRRRedible,The King Baboon
28738330,incRRRedible,4000
27791025,incRRRedible,Python>R
28837150,incRRRedible,dplyr
28710452,Lubridate,Electric R
25119664,Lubridate,GROUP_FIVE
29676088,Lubridate,dplyr
28247353,Lubridate,FORCATS
27842967,MDJLLSPHPL,ETC1010Group
29812089,MDJLLSPHPL,Not the Swallows!
29430933,MDJLLSPHPL,The King Baboon
26882167,MDJLLSPHPL,Not the Swallows!
25994360,Not the Swallows!,Python>R
25949985,Not the Swallows!,The King Baboon
26926423,Not the Swallows!,MDJLLSPHPL
28767381,Not the Swallows!,GROUP_FIVE
28748336,Python>R,VITAE
28755960,Python>R,Electric R
27809250,Python>R,Team SAMY
25945874,Python>R,FORCATS
30656354,S.T.M,VITAE
28808398,S.T.M,GROUP_FIVE
29753546,S.T.M,Team S.T.A.T.
28385934,Team HD,Electric R
30114152,Team HD,Lubridate
29708761,Team HD,VITAE
29621348,Team HD,Hardworking
29906369,Team S.T.A.T.,The Amatuer Group
26917831,Team S.T.A.T.,Hardworking
28809513,Team S.T.A.T.,dplyr
28743792,Team S.T.A.T.,The Amatuer Group
28526570,Team SAMY,C L
25183737,Team SAMY,Lubridate
26951215,Team SAMY,ETC1010Group
25188437,Team SAMY,4000
28723104,The Amatuer Group,Team SAMY
29352517,The Amatuer Group,Python>R
26918544,The Amatuer Group,ETC1010Group
29928672,The King Baboon,The Amatuer Group
29669278,The King Baboon,Team HD
29672031,The King Baboon,S.T.M
28620496,The King Baboon,C L
29720036,Tidyverse,S.T.M
27801594,Tidyverse,Team S.T.A.T.
28754131,Tidyverse,GROUP_FIVE
28739019,Tidyverse,MDJLLSPHPL
29695910,VITAE,Tidyverse
28102282,VITAE,Team S.T.A.T.
29233313,VITAE,Tidyverse
26456982,VITAE,Tidyverse
