name,SCHOOLID,ST03Q01,ST03Q02,ST04Q01,ST08Q01,ST09Q01,ST115Q01,ST11Q01,ST11Q02,ST11Q03,ST11Q04,ST11Q05,ST11Q06,ST13Q01,ST17Q01,ST27Q01,ST27Q02,ST27Q03,ST27Q04,ST27Q05,ST28Q01,ST85Q01,ST85Q02,IC05Q01,IC06Q01,IC07Q01,IC08Q03,IC08Q04,IC08Q05,PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH,PV1MACC,PV2MACC,PV3MACC,PV4MACC,PV5MACC,PV1MACQ,PV2MACQ,PV3MACQ,PV4MACQ,PV5MACQ,PV1MACS,PV2MACS,PV3MACS,PV4MACS,PV5MACS,PV1MACU,PV2MACU,PV3MACU,PV4MACU,PV5MACU,PV1MAPE,PV2MAPE,PV3MAPE,PV4MAPE,PV5MAPE,PV1MAPF,PV2MAPF,PV3MAPF,PV4MAPF,PV5MAPF,PV1MAPI,PV2MAPI,PV3MAPI,PV4MAPI,PV5MAPI,PV1READ,PV2READ,PV3READ,PV4READ,PV5READ,PV1SCIE,PV2SCIE,PV3SCIE,PV4SCIE,PV5SCIE
Australia,0000442,06,1996,Male,None,None,1,Yes,Yes,NA,Yes,NA,NA,<ISCED level 3A>,<ISCED level 2>,Three or more,Three or more,Two,Three or more,One,More than 500 books,NA,NA,04,02,01,Never or hardly ever,Almost every day,Almost every day,395.9417,415.4152,429.436,397.4996,397.4996,406.0679,352.3212,405.289,448.1305,388.9313,407.6258,353.8791,398.2785,437.2254,393.6049,434.8886,392.047,466.0461,499.5404,439.5622,409.1837,356.2159,408.4047,426.3203,388.1524,351.5423,346.0897,392.826,381.9209,409.9626,373.3525,349.9844,409.1837,410.7415,461.3725,349.9844,377.2472,355.437,376.4683,395.1628,341.8509,383.5521,358.6918,326.614,344.2568,389.5375,364.3603,387.6725,354.1029,365.2928
Australia,0000061,03,1997,Female,One or two times,Five or more times,1,Yes,Yes,NA,Yes,NA,NA,<ISCED level 3A>,"<ISCED level 3B, 3C>",Three or more,Three or more,Three or more,Two,Two,0-10 books,NA,NA,05,06,04,Never or hardly ever,Almost every day,Almost every day,447.5074,463.8651,457.6336,436.6023,482.5596,452.181,461.5283,409.3395,494.2437,417.9078,396.0975,405.4448,340.014,410.8973,354.8138,438.9391,484.1175,422.5814,465.423,425.6971,421.0235,429.5918,374.2873,444.3916,371.1715,456.0757,473.2123,481.7807,475.5492,427.255,421.0235,431.9286,418.6867,437.3812,390.645,471.6545,509.8224,509.8224,498.1383,435.8233,450.7749,459.5123,461.101,457.1294,497.6392,474.3939,480.9213,513.5584,466.934,496.7736
Australia,0000229,04,1997,Male,None,None,1,Yes,Yes,Yes,No,No,No,<ISCED level 2>,<ISCED level 2>,Three or more,Three or more,Three or more,One,Two,101-200 books,NA,NA,02,02,05,Once or twice a month,Never or hardly ever,Almost every day,428.2676,446.1832,475.7828,457.8673,427.4887,464.0988,490.5826,469.5513,445.4043,439.9517,461.762,496.0352,469.5513,466.4356,434.4991,506.9403,558.3502,506.9403,502.2667,489.8037,456.3094,470.3303,433.7202,425.1519,423.594,455.5305,475.0039,437.6149,432.1623,436.836,466.4356,503.0456,473.446,466.4356,476.5618,462.5409,493.6984,469.5513,463.3198,470.3303,331.1851,372.8862,376.8959,365.6687,403.3601,407.6278,438.3999,438.3999,431.8724,470.1044
Australia,0000208,07,1996,Female,None,None,1,Yes,Yes,Yes,Yes,No,No,<ISCED level 3A>,NA,Three or more,Three or more,Three or more,Two,Three or more,201-500 books,NA,NA,03,03,06,Every day,Never or hardly ever,Every day,554.5334,503.1235,520.2602,485.9869,538.9547,500.0078,514.8076,492.2184,500.0078,513.2497,465.7345,478.1975,455.6084,480.5344,492.2184,543.6283,528.8285,495.3342,537.3968,525.7127,471.966,502.3446,496.892,514.0287,507.0182,494.5552,495.3342,454.8294,496.892,494.5552,497.671,508.5761,510.9129,534.281,513.2497,463.3977,458.7241,429.1245,485.9869,436.9138,537.8313,551.3346,495.7329,486.9955,555.3061,470.6639,495.8411,425.9045,466.0015,523.8157
Australia,0000486,05,1996,Male,Five or more times,None,1,Yes,NA,NA,NA,NA,Yes,<ISCED level 1>,<ISCED level 1>,Three or more,Three or more,Three or more,Two,One,101-200 books,Strongly agree,Agree,05,06,06,Never or hardly ever,Never or hardly ever,Almost every day,417.0509,418.6088,422.5035,455.9978,455.9978,420.9456,444.3138,401.4722,441.198,495.7236,374.9883,410.0405,361.7464,427.1771,426.3982,453.661,457.5557,427.9561,452.8821,493.3868,365.6411,374.2094,347.7255,380.4409,420.1667,413.9352,325.9153,392.9039,391.346,387.4513,502.7341,387.4513,451.3242,473.1344,437.3033,408.4826,339.9361,393.6828,370.3147,392.9039,257.1655,261.1752,245.1363,278.0161,261.1752,308.5975,349.627,331.9097,377.6016,339.3696
Australia,0000281,08,1996,Male,One or two times,Three or four times,2,Yes,NA,NA,NA,NA,NA,"<ISCED level 3B, 3C>",NA,NA,Three or more,Three or more,Three or more,Two,0-10 books,Agree,Agree,03,06,07,Once or twice a week,Once or twice a week,Every day,273.337,327.8626,330.1994,325.5258,376.1567,398.7459,361.3569,327.8626,350.4518,321.6311,406.5353,346.5571,314.6207,324.7468,316.9575,383.1672,334.873,336.4309,320.0732,338.7677,373.041,343.4413,315.3996,327.0837,309.1681,418.9983,378.4935,355.1254,372.262,356.6833,375.3778,323.9679,329.4205,316.9575,320.0732,367.5884,330.1994,298.263,337.2098,289.6947,202.7936,278.9784,291.8096,268.5531,302.2348,260.8542,363.4278,370.8877,355.9679,412.8497
Australia,0000528,11,1996,Female,None,None,1,Yes,Yes,Yes,Yes,No,No,<ISCED level 2>,<ISCED level 3A>,Three or more,One,Two,One,None,26-100 books,Agree,Agree,03,04,05,Once or twice a week,Never or hardly ever,Almost every day,531.399,505.694,474.5365,475.3155,503.3572,486.2206,521.2728,570.3458,505.694,539.9673,536.8515,575.7984,617.0821,544.6409,562.5565,441.8212,433.2528,511.9255,430.916,440.2633,457.3999,512.7045,540.7462,514.2623,504.1362,536.0726,549.3145,502.5783,493.231,518.936,534.5147,545.4198,514.2623,497.1257,543.862,562.5565,578.9142,563.3354,539.9673,549.3145,583.9013,541.0086,571.9867,538.6256,573.5753,548.7132,487.169,539.3883,482.5065,520.7385
Australia,0000564,01,1997,Female,None,None,1,Yes,Yes,Yes,NA,NA,NA,<ISCED level 3A>,<ISCED level 3A>,Three or more,Three or more,Three or more,Three or more,Three or more,101-200 books,Agree,Agree,03,02,02,Once or twice a week,Once or twice a week,Once or twice a week,542.382,543.1609,568.0869,562.6344,548.6135,543.1609,547.8346,536.1505,518.2349,504.993,577.4342,597.6866,538.4873,538.4873,511.2245,549.3924,589.1182,501.8772,541.6031,476.1723,557.9607,554.0661,540.0452,494.8668,486.2985,540.0452,526.8032,510.4456,573.5395,543.9399,517.456,520.5717,497.9826,547.0556,525.2454,575.0974,561.0765,573.5395,619.4968,588.3393,529.9677,570.4775,572.0661,528.379,518.8473,536.2178,537.1503,539.9478,560.4625,510.1082
Australia,0000328,02,1997,Male,None,None,1,Yes,Yes,Yes,Yes,No,No,<ISCED level 3A>,<ISCED level 3A>,Three or more,Three or more,Three or more,Two,One,201-500 books,NA,NA,99,99,99,NA,NA,NA,551.8071,593.0908,593.0908,546.3546,571.2806,603.217,564.2701,604.7749,589.9751,609.4485,566.6069,540.902,575.9542,568.1648,566.6069,532.3337,533.1126,564.2701,546.3546,558.0386,547.9124,552.5861,558.0386,555.7018,561.1544,599.3223,565.828,529.9969,540.1231,556.4808,674.8793,608.6696,591.5329,575.9542,600.1013,642.1639,601.6591,570.5016,565.828,587.6383,495.4234,487.404,497.8292,492.2156,509.8584,492.9504,515.3301,515.3301,467.7732,486.423
Australia,0000481,02,1997,Female,None,Three or four times,1,Yes,Yes,NA,Yes,NA,NA,<ISCED level 3A>,<ISCED level 1>,Three or more,Two,Three or more,Three or more,One,101-200 books,Agree,Agree,02,06,06,Once or twice a week,Every day,Every day,293.5893,281.1263,346.5571,308.3892,398.7459,323.189,276.4527,266.3265,267.8844,255.4214,348.8939,287.3578,295.1472,273.337,282.6842,398.7459,304.4945,316.9575,315.3996,333.3152,433.7981,376.9357,378.4935,368.3673,383.1672,340.3256,292.0315,277.2317,302.1577,347.336,356.6833,282.6842,287.3578,281.1263,377.7146,401.0827,339.5467,353.5675,333.3152,385.504,331.3107,359.9059,404.3872,377.3807,409.1531,289.7613,231.0145,307.4786,245.0019,342.9131
Australia,0000061,02,1997,Female,None,None,1,Yes,Yes,NA,Yes,NA,NA,<ISCED level 2>,<ISCED level 3A>,Three or more,Three or more,Two,NA,One,26-100 books,NA,NA,02,04,04,Once or twice a month,Almost every day,Every day,472.1997,479.2102,487.7785,515.8202,448.8316,440.2633,518.936,553.2092,491.6732,485.4417,388.0745,471.4208,501.7993,460.5157,459.7367,487.7785,486.2206,522.0517,490.8942,478.4312,437.1475,507.2519,543.083,474.5365,497.9047,507.2519,483.8838,501.7993,518.936,518.936,476.8733,437.1475,489.3363,456.621,456.621,539.1883,517.3781,526.7253,512.7045,512.7045,512.4928,511.6985,485.48630000000003,506.1384,469.6001,497.5196,496.5871,455.5576,513.3719,480.7348
Australia,0000696,07,1996,Female,One or two times,One or two times,1,Yes,Yes,NA,Yes,NA,NA,<ISCED level 3A>,<ISCED level 3A>,Three or more,Three or more,Three or more,One,Two,101-200 books,NA,NA,02,03,02,Once or twice a month,Never or hardly ever,Almost every day,659.3005,560.3754,638.2692,598.5434,666.311,671.7635,632.0377,645.2796,689.6791,594.6487,589.9751,551.8071,575.1753,600.1013,503.513,608.6696,593.8698,605.5538,621.1326,547.1335,610.2274,578.291,595.4276,639.8271,521.4286,624.2483,583.7436,611.7853,582.9646,634.3745,669.4267,582.1857,602.4381,610.2274,632.8166,579.0699,554.1439,603.217,551.0282,610.2274,661.5848,639.3442,659.9962,655.2304,693.3572,649.8881,630.3059,642.4282,616.3185,667.6054
Australia,0000161,09,1996,Female,None,None,1,Yes,Yes,Yes,Yes,No,No,<ISCED level 3A>,<ISCED level 3A>,Three or more,Three or more,Three or more,Three or more,Three or more,101-200 books,NA,NA,02,05,06,Almost every day,Every day,Every day,588.7288,585.613,559.1291,560.687,563.0238,594.9603,591.0656,630.0125,583.2762,598.076,619.1073,619.1073,655.7174,591.0656,627.6757,539.6557,535.761,564.5817,510.835,523.298,580.1605,580.9394,607.4233,563.0238,581.7183,545.8872,561.466,546.6661,513.9508,570.0343,563.8028,573.929,577.8236,534.9821,611.318,588.7288,594.9603,584.8341,562.2449,620.6652,528.379,560.9457,493.4294,502.9611,557.7685,555.8933,556.8258,533.5136,558.6908,569.8806
Australia,0000259,06,1996,Female,None,None,1,Yes,Yes,No,Yes,No,No,<ISCED level 3A>,<ISCED level 3A>,Three or more,Two,Three or more,Two,Two,201-500 books,NA,NA,02,03,05,Almost every day,Never or hardly ever,Almost every day,646.0586,654.6269,596.9855,628.143,634.3745,643.7218,615.68,667.0899,662.4163,657.7426,695.1316,665.532,730.1838,720.8366,705.2578,586.0804,573.6174,634.3745,627.3641,637.4903,641.385,617.2379,668.6478,681.1108,652.2901,649.1743,554.1439,649.1743,667.0899,628.143,660.0795,591.5329,651.5111,656.9637,635.9324,632.0377,574.3963,648.3954,671.7635,615.68,662.4586,674.3732,645.7781,610.0341,629.8919,662.6632,674.7855,636.5535,650.5408,646.8109
Australia,0000234,08,1996,Male,None,None,1,Yes,Yes,NA,Yes,NA,NA,<ISCED level 3A>,<ISCED level 2>,Three or more,Two,Three or more,Three or more,One,26-100 books,Agree,Agree,04,05,04,Once or twice a week,Almost every day,Almost every day,570.4237,583.6657,571.2027,564.9712,551.7292,610.9285,655.3279,618.7179,621.8336,638.1913,582.1078,612.4864,596.9076,607.8127,574.3184,520.5717,559.5186,529.919,562.6344,536.9294,596.9076,596.9076,607.8127,630.4019,621.8336,558.7397,603.9181,595.3497,548.6135,600.0234,589.8972,573.5395,605.4759,551.7292,602.3602,638.9702,640.5281,670.1277,652.9911,681.0329,586.4442,600.8792,569.6033,597.6714,556.7722,674.8788,662.7564,670.2163,677.6762,643.1742
Australia,0000598,04,1997,Male,One or two times,One or two times,1,Yes,Yes,Yes,Yes,Yes,NA,<ISCED level 3A>,<ISCED level 3A>,Three or more,Three or more,Three or more,Two,Three or more,101-200 books,Agree,Disagree,03,06,07,Almost every day,Once or twice a week,Almost every day,509.6666,452.0252,449.6884,449.6884,460.5936,476.9512,385.0366,469.1619,449.6884,502.6562,455.9199,360.8895,457.4778,444.2359,451.2463,443.4569,368.6789,430.215,397.4996,446.5727,484.7406,406.0679,474.6144,457.4778,481.6249,438.0044,422.4256,451.2463,423.9835,411.5205,458.2567,454.3621,481.6249,424.7624,401.3943,516.6771,494.0879,515.1192,495.6457,454.3621,524.6944,446.1038,500.6361,486.201,474.9738,509.8284,442.6893,507.9634,462.2715,474.3939
Australia,0000536,08,1996,Male,One or two times,None,1,Yes,Yes,Yes,No,No,No,<ISCED level 3A>,<ISCED level 3A>,Three or more,Three or more,Three or more,Three or more,Two,201-500 books,NA,NA,02,05,04,Once or twice a week,Never or hardly ever,Every day,585.1457,489.3363,539.1883,560.9986,565.6722,557.8828,582.0299,515.0413,582.8088,546.9777,538.4094,587.4825,502.5783,588.2614,519.7149,551.6513,551.6513,504.9151,547.7567,522.0517,545.4198,621.7557,544.6409,629.5451,570.3458,558.6618,556.325,579.6931,538.4094,525.1675,524.3885,521.2728,568.009,515.0413,498.6836,528.2832,527.5043,553.9882,535.2937,539.9673,624.697,533.2752,534.0772,567.7589,585.4017,612.4021,491.1787,530.3432,530.3432,530.3432
