Sensor,Date_Time,Date,Time,Count
Melbourne Central,2018-01-03T21:00:00Z,2018-01-04,8,443
Melbourne Central,2018-01-03T22:00:00Z,2018-01-04,9,579
Melbourne Central,2018-01-03T23:00:00Z,2018-01-04,10,877
Melbourne Central,2018-01-04T00:00:00Z,2018-01-04,11,1225
Melbourne Central,2018-01-04T01:00:00Z,2018-01-04,12,1984
Melbourne Central,2018-01-04T02:00:00Z,2018-01-04,13,2274
Melbourne Central,2018-01-04T03:00:00Z,2018-01-04,14,2126
Melbourne Central,2018-01-04T04:00:00Z,2018-01-04,15,2162
Melbourne Central,2018-01-04T05:00:00Z,2018-01-04,16,2159
Melbourne Central,2018-01-04T06:00:00Z,2018-01-04,17,2222
Melbourne Central,2018-01-04T07:00:00Z,2018-01-04,18,2198
Melbourne Central,2018-01-04T08:00:00Z,2018-01-04,19,1786
Melbourne Central,2018-01-04T09:00:00Z,2018-01-04,20,1725
Melbourne Central,2018-01-04T10:00:00Z,2018-01-04,21,1721
Melbourne Central,2018-01-04T11:00:00Z,2018-01-04,22,1147
Melbourne Central,2018-01-04T12:00:00Z,2018-01-04,23,749
Melbourne Central,2018-01-04T13:00:00Z,2018-01-05,0,387
Melbourne Central,2018-01-04T14:00:00Z,2018-01-05,1,208
Melbourne Central,2018-01-04T15:00:00Z,2018-01-05,2,156
Melbourne Central,2018-01-04T16:00:00Z,2018-01-05,3,204
Melbourne Central,2018-01-04T17:00:00Z,2018-01-05,4,53
Melbourne Central,2018-01-04T18:00:00Z,2018-01-05,5,67
Melbourne Central,2018-01-04T19:00:00Z,2018-01-05,6,114
Melbourne Central,2018-01-04T20:00:00Z,2018-01-05,7,207
Melbourne Central,2018-01-04T21:00:00Z,2018-01-05,8,416
Melbourne Central,2018-01-04T22:00:00Z,2018-01-05,9,560
Melbourne Central,2018-01-04T23:00:00Z,2018-01-05,10,873
Melbourne Central,2018-01-05T00:00:00Z,2018-01-05,11,1151
Melbourne Central,2018-01-05T01:00:00Z,2018-01-05,12,1960
Melbourne Central,2018-01-05T02:00:00Z,2018-01-05,13,2232
Melbourne Central,2018-01-05T03:00:00Z,2018-01-05,14,2016
Melbourne Central,2018-01-05T04:00:00Z,2018-01-05,15,2050
Melbourne Central,2018-01-05T05:00:00Z,2018-01-05,16,2028
Melbourne Central,2018-01-05T06:00:00Z,2018-01-05,17,2241
Melbourne Central,2018-01-05T07:00:00Z,2018-01-05,18,2251
Melbourne Central,2018-01-05T08:00:00Z,2018-01-05,19,1978
Melbourne Central,2018-01-05T09:00:00Z,2018-01-05,20,1978
Melbourne Central,2018-01-05T10:00:00Z,2018-01-05,21,2061
Melbourne Central,2018-01-05T11:00:00Z,2018-01-05,22,1699
Melbourne Central,2018-01-05T12:00:00Z,2018-01-05,23,1313
Melbourne Central,2018-01-05T13:00:00Z,2018-01-06,0,818
Melbourne Central,2018-01-05T14:00:00Z,2018-01-06,1,469
Melbourne Central,2018-01-05T15:00:00Z,2018-01-06,2,269
Melbourne Central,2018-01-05T16:00:00Z,2018-01-06,3,254
Melbourne Central,2018-01-05T17:00:00Z,2018-01-06,4,100
Melbourne Central,2018-01-05T18:00:00Z,2018-01-06,5,91
Melbourne Central,2018-01-05T19:00:00Z,2018-01-06,6,97
Melbourne Central,2018-01-05T20:00:00Z,2018-01-06,7,192
Melbourne Central,2018-01-05T21:00:00Z,2018-01-06,8,272
Melbourne Central,2018-01-05T22:00:00Z,2018-01-06,9,438
Melbourne Central,2018-01-05T23:00:00Z,2018-01-06,10,640
Melbourne Central,2018-01-06T00:00:00Z,2018-01-06,11,783
Melbourne Central,2018-01-06T01:00:00Z,2018-01-06,12,955
Melbourne Central,2018-01-06T02:00:00Z,2018-01-06,13,1250
Melbourne Central,2018-01-06T03:00:00Z,2018-01-06,14,1266
Melbourne Central,2018-01-06T04:00:00Z,2018-01-06,15,1243
Melbourne Central,2018-01-06T05:00:00Z,2018-01-06,16,1150
Melbourne Central,2018-01-06T06:00:00Z,2018-01-06,17,1278
Melbourne Central,2018-01-06T07:00:00Z,2018-01-06,18,1132
Melbourne Central,2018-01-06T08:00:00Z,2018-01-06,19,1695
Melbourne Central,2018-01-06T09:00:00Z,2018-01-06,20,1921
Melbourne Central,2018-01-06T10:00:00Z,2018-01-06,21,1651
Melbourne Central,2018-01-06T11:00:00Z,2018-01-06,22,1484
Melbourne Central,2018-01-06T12:00:00Z,2018-01-06,23,1397
Melbourne Central,2018-01-06T13:00:00Z,2018-01-07,0,737
Melbourne Central,2018-01-06T14:00:00Z,2018-01-07,1,520
Melbourne Central,2018-01-06T15:00:00Z,2018-01-07,2,296
Melbourne Central,2018-01-06T16:00:00Z,2018-01-07,3,243
Melbourne Central,2018-01-06T17:00:00Z,2018-01-07,4,82
Melbourne Central,2018-01-06T18:00:00Z,2018-01-07,5,69
Melbourne Central,2018-01-06T19:00:00Z,2018-01-07,6,72
Melbourne Central,2018-01-06T20:00:00Z,2018-01-07,7,116
Melbourne Central,2018-01-06T21:00:00Z,2018-01-07,8,237
Melbourne Central,2018-01-06T22:00:00Z,2018-01-07,9,460
Melbourne Central,2018-01-06T23:00:00Z,2018-01-07,10,650
Melbourne Central,2018-01-07T00:00:00Z,2018-01-07,11,1064
Melbourne Central,2018-01-07T01:00:00Z,2018-01-07,12,1699
Melbourne Central,2018-01-07T02:00:00Z,2018-01-07,13,1903
Melbourne Central,2018-01-07T03:00:00Z,2018-01-07,14,2031
Melbourne Central,2018-01-07T04:00:00Z,2018-01-07,15,1993
Melbourne Central,2018-01-07T05:00:00Z,2018-01-07,16,1861
Melbourne Central,2018-01-07T06:00:00Z,2018-01-07,17,2054
Melbourne Central,2018-01-07T07:00:00Z,2018-01-07,18,1776
Melbourne Central,2018-01-07T08:00:00Z,2018-01-07,19,1859
Melbourne Central,2018-01-07T09:00:00Z,2018-01-07,20,1611
Melbourne Central,2018-01-07T10:00:00Z,2018-01-07,21,1296
Melbourne Central,2018-01-07T11:00:00Z,2018-01-07,22,794
Melbourne Central,2018-01-07T12:00:00Z,2018-01-07,23,629
Melbourne Central,2018-01-07T13:00:00Z,2018-01-08,0,271
Melbourne Central,2018-01-07T14:00:00Z,2018-01-08,1,223
Melbourne Central,2018-01-07T15:00:00Z,2018-01-08,2,64
Melbourne Central,2018-01-07T16:00:00Z,2018-01-08,3,58
Melbourne Central,2018-01-07T17:00:00Z,2018-01-08,4,32
Melbourne Central,2018-01-07T18:00:00Z,2018-01-08,5,63
Melbourne Central,2018-01-07T19:00:00Z,2018-01-08,6,113
Melbourne Central,2018-01-07T20:00:00Z,2018-01-08,7,265
Melbourne Central,2018-01-07T21:00:00Z,2018-01-08,8,612
Melbourne Central,2018-01-07T22:00:00Z,2018-01-08,9,738
Melbourne Central,2018-01-07T23:00:00Z,2018-01-08,10,847
Melbourne Central,2018-01-08T00:00:00Z,2018-01-08,11,1272
Melbourne Central,2018-01-08T01:00:00Z,2018-01-08,12,2120
Melbourne Central,2018-01-08T02:00:00Z,2018-01-08,13,2482
Melbourne Central,2018-01-08T03:00:00Z,2018-01-08,14,2154
Melbourne Central,2018-01-08T04:00:00Z,2018-01-08,15,2453
Melbourne Central,2018-01-08T05:00:00Z,2018-01-08,16,2026
Melbourne Central,2018-01-08T06:00:00Z,2018-01-08,17,2340
Melbourne Central,2018-01-08T07:00:00Z,2018-01-08,18,2096
Melbourne Central,2018-01-08T08:00:00Z,2018-01-08,19,1850
Melbourne Central,2018-01-08T09:00:00Z,2018-01-08,20,1655
Melbourne Central,2018-01-08T10:00:00Z,2018-01-08,21,1303
Melbourne Central,2018-01-08T11:00:00Z,2018-01-08,22,986
Melbourne Central,2018-01-08T12:00:00Z,2018-01-08,23,507
Melbourne Central,2018-01-08T13:00:00Z,2018-01-09,0,239
Melbourne Central,2018-01-08T14:00:00Z,2018-01-09,1,131
Melbourne Central,2018-01-08T15:00:00Z,2018-01-09,2,64
Melbourne Central,2018-01-08T16:00:00Z,2018-01-09,3,50
Melbourne Central,2018-01-08T17:00:00Z,2018-01-09,4,43
Melbourne Central,2018-01-08T18:00:00Z,2018-01-09,5,70
Melbourne Central,2018-01-08T19:00:00Z,2018-01-09,6,124
Melbourne Central,2018-01-08T20:00:00Z,2018-01-09,7,312
Melbourne Central,2018-01-08T21:00:00Z,2018-01-09,8,601
Melbourne Central,2018-01-08T22:00:00Z,2018-01-09,9,711
Melbourne Central,2018-01-08T23:00:00Z,2018-01-09,10,845
Melbourne Central,2018-01-09T00:00:00Z,2018-01-09,11,1271
Melbourne Central,2018-01-09T01:00:00Z,2018-01-09,12,2110
Melbourne Central,2018-01-09T02:00:00Z,2018-01-09,13,2562
Melbourne Central,2018-01-09T03:00:00Z,2018-01-09,14,2103
Melbourne Central,2018-01-09T04:00:00Z,2018-01-09,15,2141
Melbourne Central,2018-01-09T05:00:00Z,2018-01-09,16,2115
Melbourne Central,2018-01-09T06:00:00Z,2018-01-09,17,2553
Melbourne Central,2018-01-09T07:00:00Z,2018-01-09,18,2310
Melbourne Central,2018-01-09T08:00:00Z,2018-01-09,19,2108
Melbourne Central,2018-01-09T09:00:00Z,2018-01-09,20,1799
Melbourne Central,2018-01-09T10:00:00Z,2018-01-09,21,1351
Melbourne Central,2018-01-09T11:00:00Z,2018-01-09,22,942
Melbourne Central,2018-01-09T12:00:00Z,2018-01-09,23,561
Melbourne Central,2018-01-09T13:00:00Z,2018-01-10,0,305
Melbourne Central,2018-01-09T14:00:00Z,2018-01-10,1,135
Melbourne Central,2018-01-09T15:00:00Z,2018-01-10,2,66
Melbourne Central,2018-01-09T16:00:00Z,2018-01-10,3,43
Melbourne Central,2018-01-09T17:00:00Z,2018-01-10,4,35
Melbourne Central,2018-01-09T18:00:00Z,2018-01-10,5,79
Melbourne Central,2018-01-09T19:00:00Z,2018-01-10,6,138
Melbourne Central,2018-01-09T20:00:00Z,2018-01-10,7,324
Melbourne Central,2018-01-09T21:00:00Z,2018-01-10,8,689
Melbourne Central,2018-01-09T22:00:00Z,2018-01-10,9,802
Melbourne Central,2018-01-09T23:00:00Z,2018-01-10,10,1031
Melbourne Central,2018-01-10T00:00:00Z,2018-01-10,11,1287
Melbourne Central,2018-01-10T01:00:00Z,2018-01-10,12,2311
Melbourne Central,2018-01-10T02:00:00Z,2018-01-10,13,2596
Melbourne Central,2018-01-10T03:00:00Z,2018-01-10,14,2201
Melbourne Central,2018-01-10T04:00:00Z,2018-01-10,15,2209
Melbourne Central,2018-01-10T05:00:00Z,2018-01-10,16,2126
Melbourne Central,2018-01-10T06:00:00Z,2018-01-10,17,2472
Melbourne Central,2018-01-10T07:00:00Z,2018-01-10,18,2177
Melbourne Central,2018-01-10T08:00:00Z,2018-01-10,19,2094
Melbourne Central,2018-01-10T09:00:00Z,2018-01-10,20,1884
Melbourne Central,2018-01-10T10:00:00Z,2018-01-10,21,1523
Melbourne Central,2018-01-10T11:00:00Z,2018-01-10,22,1086
Melbourne Central,2018-01-10T12:00:00Z,2018-01-10,23,590
Melbourne Central,2018-01-10T13:00:00Z,2018-01-11,0,286
Melbourne Central,2018-01-10T14:00:00Z,2018-01-11,1,191
Melbourne Central,2018-01-10T15:00:00Z,2018-01-11,2,80
Melbourne Central,2018-01-10T16:00:00Z,2018-01-11,3,45
Melbourne Central,2018-01-10T17:00:00Z,2018-01-11,4,32
Melbourne Central,2018-01-10T18:00:00Z,2018-01-11,5,61
Melbourne Central,2018-01-10T19:00:00Z,2018-01-11,6,171
Melbourne Central,2018-01-10T20:00:00Z,2018-01-11,7,342
Melbourne Central,2018-01-10T21:00:00Z,2018-01-11,8,629
Melbourne Central,2018-01-10T22:00:00Z,2018-01-11,9,635
Melbourne Central,2018-01-10T23:00:00Z,2018-01-11,10,843
Melbourne Central,2018-01-11T00:00:00Z,2018-01-11,11,1172
Melbourne Central,2018-01-11T01:00:00Z,2018-01-11,12,2005
Melbourne Central,2018-01-11T02:00:00Z,2018-01-11,13,2029
Melbourne Central,2018-01-11T03:00:00Z,2018-01-11,14,1930
Melbourne Central,2018-01-11T04:00:00Z,2018-01-11,15,1760
Melbourne Central,2018-01-11T05:00:00Z,2018-01-11,16,1729
Melbourne Central,2018-01-11T06:00:00Z,2018-01-11,17,2272
Melbourne Central,2018-01-11T07:00:00Z,2018-01-11,18,2018
Melbourne Central,2018-01-11T08:00:00Z,2018-01-11,19,1779
Melbourne Central,2018-01-11T09:00:00Z,2018-01-11,20,1745
Melbourne Central,2018-01-11T10:00:00Z,2018-01-11,21,1628
Melbourne Central,2018-01-11T11:00:00Z,2018-01-11,22,1183
Melbourne Central,2018-01-11T12:00:00Z,2018-01-11,23,796
Melbourne Central,2018-01-11T13:00:00Z,2018-01-12,0,377
Melbourne Central,2018-01-11T14:00:00Z,2018-01-12,1,342
Melbourne Central,2018-01-11T15:00:00Z,2018-01-12,2,169
Melbourne Central,2018-01-11T16:00:00Z,2018-01-12,3,148
Melbourne Central,2018-01-11T17:00:00Z,2018-01-12,4,53
Melbourne Central,2018-01-11T18:00:00Z,2018-01-12,5,94
Melbourne Central,2018-01-11T19:00:00Z,2018-01-12,6,168
Melbourne Central,2018-01-11T20:00:00Z,2018-01-12,7,288
Melbourne Central,2018-01-11T21:00:00Z,2018-01-12,8,512
Melbourne Central,2018-01-11T22:00:00Z,2018-01-12,9,547
Melbourne Central,2018-01-11T23:00:00Z,2018-01-12,10,770
Melbourne Central,2018-01-12T00:00:00Z,2018-01-12,11,1239
Melbourne Central,2018-01-12T01:00:00Z,2018-01-12,12,2032
Melbourne Central,2018-01-12T02:00:00Z,2018-01-12,13,1980
Melbourne Central,2018-01-12T03:00:00Z,2018-01-12,14,1832
Melbourne Central,2018-01-12T04:00:00Z,2018-01-12,15,1898
Melbourne Central,2018-01-12T05:00:00Z,2018-01-12,16,1852
Melbourne Central,2018-01-12T06:00:00Z,2018-01-12,17,2268
Melbourne Central,2018-01-12T07:00:00Z,2018-01-12,18,1759
Melbourne Central,2018-01-12T08:00:00Z,2018-01-12,19,1515
Melbourne Central,2018-01-12T09:00:00Z,2018-01-12,20,1579
Melbourne Central,2018-01-12T10:00:00Z,2018-01-12,21,1819
Melbourne Central,2018-01-12T11:00:00Z,2018-01-12,22,1495
Melbourne Central,2018-01-12T12:00:00Z,2018-01-12,23,1176
Melbourne Central,2018-01-12T13:00:00Z,2018-01-13,0,774
Melbourne Central,2018-01-12T14:00:00Z,2018-01-13,1,392
Melbourne Central,2018-01-12T15:00:00Z,2018-01-13,2,284
Melbourne Central,2018-01-12T16:00:00Z,2018-01-13,3,237
Melbourne Central,2018-01-12T17:00:00Z,2018-01-13,4,134
Melbourne Central,2018-01-12T18:00:00Z,2018-01-13,5,70
Melbourne Central,2018-01-12T19:00:00Z,2018-01-13,6,79
Melbourne Central,2018-01-12T20:00:00Z,2018-01-13,7,187
Melbourne Central,2018-01-12T21:00:00Z,2018-01-13,8,272
Melbourne Central,2018-01-12T22:00:00Z,2018-01-13,9,488
Melbourne Central,2018-01-12T23:00:00Z,2018-01-13,10,740
Melbourne Central,2018-01-13T00:00:00Z,2018-01-13,11,1279
Melbourne Central,2018-01-13T01:00:00Z,2018-01-13,12,1736
Melbourne Central,2018-01-13T02:00:00Z,2018-01-13,13,1989
Melbourne Central,2018-01-13T03:00:00Z,2018-01-13,14,1598
Melbourne Central,2018-01-13T04:00:00Z,2018-01-13,15,1662
Melbourne Central,2018-01-13T05:00:00Z,2018-01-13,16,1471
Melbourne Central,2018-01-13T06:00:00Z,2018-01-13,17,1467
Melbourne Central,2018-01-13T07:00:00Z,2018-01-13,18,1559
Melbourne Central,2018-01-13T08:00:00Z,2018-01-13,19,2079
Melbourne Central,2018-01-13T09:00:00Z,2018-01-13,20,1730
Melbourne Central,2018-01-13T10:00:00Z,2018-01-13,21,1657
Melbourne Central,2018-01-13T11:00:00Z,2018-01-13,22,1054
Melbourne Central,2018-01-13T12:00:00Z,2018-01-13,23,1008
Melbourne Central,2018-01-13T13:00:00Z,2018-01-14,0,631
Melbourne Central,2018-01-13T14:00:00Z,2018-01-14,1,540
Melbourne Central,2018-01-13T15:00:00Z,2018-01-14,2,302
Melbourne Central,2018-01-13T16:00:00Z,2018-01-14,3,210
Melbourne Central,2018-01-13T17:00:00Z,2018-01-14,4,55
Melbourne Central,2018-01-13T18:00:00Z,2018-01-14,5,68
Melbourne Central,2018-01-13T19:00:00Z,2018-01-14,6,84
Melbourne Central,2018-01-13T20:00:00Z,2018-01-14,7,129
Melbourne Central,2018-01-13T21:00:00Z,2018-01-14,8,212
Melbourne Central,2018-01-13T22:00:00Z,2018-01-14,9,391
Melbourne Central,2018-01-13T23:00:00Z,2018-01-14,10,695
Melbourne Central,2018-01-14T00:00:00Z,2018-01-14,11,1146
Melbourne Central,2018-01-14T01:00:00Z,2018-01-14,12,1725
Melbourne Central,2018-01-14T02:00:00Z,2018-01-14,13,2015
Melbourne Central,2018-01-14T03:00:00Z,2018-01-14,14,2045
Melbourne Central,2018-01-14T04:00:00Z,2018-01-14,15,2184
Melbourne Central,2018-01-14T05:00:00Z,2018-01-14,16,2087
Melbourne Central,2018-01-14T06:00:00Z,2018-01-14,17,2072
Melbourne Central,2018-01-14T07:00:00Z,2018-01-14,18,1925
Melbourne Central,2018-01-14T08:00:00Z,2018-01-14,19,1951
Melbourne Central,2018-01-14T09:00:00Z,2018-01-14,20,1717
Melbourne Central,2018-01-14T10:00:00Z,2018-01-14,21,1345
Melbourne Central,2018-01-14T11:00:00Z,2018-01-14,22,1039
Melbourne Central,2018-01-14T12:00:00Z,2018-01-14,23,641
Melbourne Central,2018-01-14T13:00:00Z,2018-01-15,0,303
Melbourne Central,2018-01-14T14:00:00Z,2018-01-15,1,176
Melbourne Central,2018-01-14T15:00:00Z,2018-01-15,2,73
Melbourne Central,2018-01-14T16:00:00Z,2018-01-15,3,64
Melbourne Central,2018-01-14T17:00:00Z,2018-01-15,4,14
Melbourne Central,2018-01-14T18:00:00Z,2018-01-15,5,60
Melbourne Central,2018-01-14T19:00:00Z,2018-01-15,6,159
Melbourne Central,2018-01-14T20:00:00Z,2018-01-15,7,293
Melbourne Central,2018-01-14T21:00:00Z,2018-01-15,8,749
Melbourne Central,2018-01-14T22:00:00Z,2018-01-15,9,631
Melbourne Central,2018-01-14T23:00:00Z,2018-01-15,10,837
Melbourne Central,2018-01-15T00:00:00Z,2018-01-15,11,1225
Melbourne Central,2018-01-15T01:00:00Z,2018-01-15,12,2126
Melbourne Central,2018-01-15T02:00:00Z,2018-01-15,13,2236
Melbourne Central,2018-01-15T03:00:00Z,2018-01-15,14,2006
Melbourne Central,2018-01-15T04:00:00Z,2018-01-15,15,2028
Melbourne Central,2018-01-15T05:00:00Z,2018-01-15,16,1981
Melbourne Central,2018-01-15T06:00:00Z,2018-01-15,17,2430
Melbourne Central,2018-01-15T07:00:00Z,2018-01-15,18,1982
Melbourne Central,2018-01-15T08:00:00Z,2018-01-15,19,1756
Melbourne Central,2018-01-15T09:00:00Z,2018-01-15,20,1540
Melbourne Central,2018-01-15T10:00:00Z,2018-01-15,21,1264
Melbourne Central,2018-01-15T11:00:00Z,2018-01-15,22,921
Melbourne Central,2018-01-15T12:00:00Z,2018-01-15,23,581
Melbourne Central,2018-01-15T13:00:00Z,2018-01-16,0,218
Melbourne Central,2018-01-15T14:00:00Z,2018-01-16,1,134
Melbourne Central,2018-01-15T15:00:00Z,2018-01-16,2,56
Melbourne Central,2018-01-15T16:00:00Z,2018-01-16,3,18
Melbourne Central,2018-01-15T17:00:00Z,2018-01-16,4,22
Melbourne Central,2018-01-15T18:00:00Z,2018-01-16,5,91
Melbourne Central,2018-01-15T19:00:00Z,2018-01-16,6,205
Melbourne Central,2018-01-15T20:00:00Z,2018-01-16,7,369
Melbourne Central,2018-01-15T21:00:00Z,2018-01-16,8,699
Melbourne Central,2018-01-15T22:00:00Z,2018-01-16,9,737
Melbourne Central,2018-01-15T23:00:00Z,2018-01-16,10,871
Melbourne Central,2018-01-16T00:00:00Z,2018-01-16,11,1253
Melbourne Central,2018-01-16T01:00:00Z,2018-01-16,12,2181
Melbourne Central,2018-01-16T02:00:00Z,2018-01-16,13,2270
Melbourne Central,2018-01-16T03:00:00Z,2018-01-16,14,1963
Melbourne Central,2018-01-16T04:00:00Z,2018-01-16,15,2002
Melbourne Central,2018-01-16T05:00:00Z,2018-01-16,16,1963
Melbourne Central,2018-01-16T06:00:00Z,2018-01-16,17,2421
Melbourne Central,2018-01-16T07:00:00Z,2018-01-16,18,2203
Melbourne Central,2018-01-16T08:00:00Z,2018-01-16,19,1836
Melbourne Central,2018-01-16T09:00:00Z,2018-01-16,20,1619
Melbourne Central,2018-01-16T10:00:00Z,2018-01-16,21,1416
Melbourne Central,2018-01-16T11:00:00Z,2018-01-16,22,1017
Melbourne Central,2018-01-16T12:00:00Z,2018-01-16,23,611
Melbourne Central,2018-01-16T13:00:00Z,2018-01-17,0,275
Melbourne Central,2018-01-16T14:00:00Z,2018-01-17,1,113
Melbourne Central,2018-01-16T15:00:00Z,2018-01-17,2,48
Melbourne Central,2018-01-16T16:00:00Z,2018-01-17,3,61
Melbourne Central,2018-01-16T17:00:00Z,2018-01-17,4,14
Melbourne Central,2018-01-16T18:00:00Z,2018-01-17,5,88
Melbourne Central,2018-01-16T19:00:00Z,2018-01-17,6,192
Melbourne Central,2018-01-16T20:00:00Z,2018-01-17,7,311
