Season,Lg,Team,W,L,W/L%,Finish,SRS,,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,,Playoffs,Coaches,Top WS
1990-91,NBA,New York Knicks*,39,43,.476,3rd of 6,-0.43,,95.0,-2.8,107.1,-0.8,107.3,-0.6,,Lost E. Conf. 1st Rnd.,S. Jackson (7-8) J. MacLeod (32-35),P. Ewing (10.0)
1989-90,NBA,New York Knicks*,45,37,.549,3rd of 6,0.78,,98.2,-0.1,109.4,1.3,108.0,-0.1,,Lost E. Conf. Semis,S. Jackson (45-37),P. Ewing (13.5)
1988-89,NBA,New York Knicks*,52,30,.634,1st of 6,3.62,,104.4,3.8,111.1,3.3,107.5,-0.3,,Lost E. Conf. Semis,R. Pitino (52-30),P. Ewing (10.9)
1987-88,NBA,New York Knicks*,38,44,.463,3rd of 5,0.14,,99.1,-0.5,105.9,-2.1,106.4,-1.6,,Lost E. Conf. 1st Rnd.,R. Pitino (38-44),P. Ewing (8.1)
1986-87,NBA,New York Knicks,24,58,.293,5th of 5,-5.42,,98.5,-2.3,104.8,-3.5,111.1,2.8,,,H. Brown (4-12) B. Hill (20-46),B. Cartwright (5.8)
1985-86,NBA,New York Knicks,23,59,.280,5th of 5,-4.82,,98.6,-3.5,99.5,-7.7,105.2,-2.0,,,H. Brown (23-59),T. Tucker (4.0)
1984-85,NBA,New York Knicks,24,58,.293,5th of 5,-4.09,,99.5,-2.6,104.9,-3.0,109.6,1.7,,,H. Brown (24-58),B. King (7.1)
1983-84,NBA,New York Knicks*,47,35,.573,3rd of 5,3.79,,99.0,-2.4,107.0,-0.6,103.1,-4.5,,Lost E. Conf. Semis,H. Brown (47-35),B. King (12.1)
1982-83,NBA,New York Knicks*,44,38,.537,4th of 5,2.58,,97.0,-6.1,102.4,-2.3,99.9,-4.8,,Lost E. Conf. Semis,H. Brown (44-38),B. Cartwright (10.1)
1981-82,NBA,New York Knicks,33,49,.402,5th of 5,-2.15,,99.5,-1.4,106.0,-0.9,108.6,1.7,,,R. Holzman (33-49),M. Lucas (7.4)
1980-81,NBA,New York Knicks*,50,32,.610,3rd of 5,2.00,,101.0,-0.8,106.0,0.5,104.4,-1.1,,Lost E. Conf. 1st Rnd.,R. Holzman (50-32),B. Cartwright (10.0)
1979-80,NBA,New York Knicks,39,43,.476,4th of 5,-0.96,,106.5,3.4,106.5,1.2,107.5,2.2,,,R. Holzman (39-43),B. Cartwright (9.7)
1978-79,NBA,New York Knicks,31,51,.378,4th of 5,-3.29,,104.9,-0.9,102.2,-1.6,105.4,1.6,,,W. Reed (6-8) R. Holzman (25-43),T. Knight (5.7)
1977-78,NBA,New York Knicks*,43,39,.524,2nd of 5,-0.53,,109.7,3.0,101.7,0.8,102.2,1.3,,Lost E. Conf. Semis,W. Reed (43-39),B. McAdoo (10.9)
1976-77,NBA,New York Knicks,40,42,.488,3rd of 5,0.01,,108.1,1.6,100.1,0.6,100.1,0.6,,,R. Holzman (40-42),B. McAdoo (7.9)
1975-76,NBA,New York Knicks,38,44,.463,4th of 4,-1.05,,104.1,-1.4,98.0,-0.3,99.2,0.9,,,R. Holzman (38-44),E. Monroe (7.2)
1974-75,NBA,New York Knicks*,40,42,.488,3rd of 4,-0.92,,103.1,-1.4,97.1,-0.6,98.3,0.6,,Lost E. Conf. 1st Rnd.,R. Holzman (40-42),W. Frazier (10.8)
1973-74,NBA,New York Knicks*,49,33,.598,2nd of 4,2.42,,103.5,-4.3,97.4,-0.3,94.7,-3.0,,Lost E. Conf. Finals,R. Holzman (49-33),W. Frazier (10.9)
1972-73,NBA,New York Knicks*,57,25,.695,2nd of 4,6.07,,105.9,-4.8,98.9,2.1,92.5,-4.3,,Won Finals,R. Holzman (57-25),W. Frazier (13.0)
1971-72,NBA,New York Knicks*,48,34,.585,2nd of 4,2.28,,108.0,-4.0,98.5,0.6,96.3,-1.6,,Lost Finals,R. Holzman (48-34),W. Frazier (14.5)
1970-71,NBA,New York Knicks*,52,30,.634,1st of 4,5.05,,112.2,-2.9,97.8,0.6,93.3,-3.9,,Lost E. Conf. Finals,R. Holzman (52-30),W. Frazier (15.6)
1969-70,NBA,New York Knicks*,60,22,.732,1st of 7,8.42,,114.3,-2.8,100.3,1.3,92.4,-6.6,,Won Finals,R. Holzman (60-22),W. Frazier (15.0)
1968-69,NBA,New York Knicks*,54,28,.659,3rd of 7,5.48,,112.4,-4.5,98.4,2.9,93.3,-2.2,,Lost E. Div. Finals,R. Holzman (54-28),W. Reed (14.7)
1967-68,NBA,New York Knicks*,43,39,.524,3rd of 6,1.78,,117.2,-2.6,98.1,1.3,96.5,-0.3,,Lost E. Div. Semis,D. McGuire (15-23) R. Holzman (28-16),W. Bellamy (11.1)
