Season,Lg,Team,W,L,W/L%,Finish,SRS,,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,,Playoffs,Coaches,Top WS
1981-82,NBA,Boston Celtics*,63,19,.768,1st of 5,6.35,,101.5,0.6,109.8,2.9,103.5,-3.4,,Lost E. Conf. Finals,B. Fitch (63-19),L. Bird (12.5)
1980-81,NBA,Boston Celtics*,62,20,.756,1st of 5,6.05,,100.8,-1.0,108.4,2.9,102.6,-2.9,,Won Finals,B. Fitch (62-20),C. Maxwell (11.0)
1979-80,NBA,Boston Celtics*,61,21,.744,1st of 5,7.37,,102.6,-0.5,109.4,4.1,101.9,-3.4,,Lost E. Conf. Finals,B. Fitch (61-21),C. Maxwell (12.2)
1978-79,NBA,Boston Celtics,29,53,.354,5th of 5,-4.78,,106.5,0.7,101.6,-2.2,106.4,2.6,,,T. Sanders (2-12) D. Cowens (27-41),C. Maxwell (11.7)
1977-78,NBA,Boston Celtics,32,50,.390,3rd of 5,-1.86,,105.9,-0.8,99.1,-1.8,100.9,0.0,,,T. Heinsohn (11-23) T. Sanders (21-27),D. Cowens (10.8)
1976-77,NBA,Boston Celtics*,44,38,.537,2nd of 5,-1.90,,107.5,1.0,96.5,-3.0,98.3,-1.2,,Lost E. Conf. Semis,T. Heinsohn (44-38),J. White (6.5)
1975-76,NBA,Boston Celtics*,54,28,.659,1st of 4,2.25,,106.9,1.4,98.9,0.6,96.7,-1.6,,Won Finals,T. Heinsohn (54-28),D. Cowens (10.7)
1974-75,NBA,Boston Celtics*,60,22,.732,1st of 4,5.40,,106.1,1.6,100.0,2.3,94.7,-3.0,,Lost E. Conf. Finals,T. Heinsohn (60-22),J. Havlicek (9.7)
1973-74,NBA,Boston Celtics*,56,26,.683,1st of 4,3.42,,110.0,2.2,98.6,0.9,95.1,-2.6,,Won Finals,T. Heinsohn (56-26),J. Havlicek (9.7)
1972-73,NBA,Boston Celtics*,68,14,.829,1st of 4,7.35,,114.5,3.8,98.1,1.3,91.0,-5.8,,Lost E. Conf. Finals,T. Heinsohn (68-14),J. Havlicek (12.1)
1971-72,NBA,Boston Celtics*,56,26,.683,1st of 4,4.38,,116.1,4.1,99.3,1.4,95.2,-2.7,,Lost E. Conf. Finals,T. Heinsohn (56-26),J. Havlicek (12.4)
1970-71,NBA,Boston Celtics,44,38,.537,3rd of 4,2.30,,120.2,5.1,97.0,-0.2,95.3,-1.9,,,T. Heinsohn (44-38),J. Havlicek (12.5)
1969-70,NBA,Boston Celtics,34,48,.415,6th of 7,-1.60,,117.5,0.4,97.3,-1.7,98.9,-0.1,,,T. Heinsohn (34-48),J. Havlicek (10.6)
1968-69,NBA,Boston Celtics*,48,34,.585,4th of 7,5.35,,117.5,0.6,93.8,-1.7,89.1,-6.4,,Won Finals,B. Russell (48-34),B. Howell (11.3)
1967-68,NBA,Boston Celtics*,54,28,.659,2nd of 6,3.87,,121.1,1.3,95.7,-1.1,92.4,-4.4,,Won Finals,B. Russell (54-28),B. Howell (10.1)
1966-67,NBA,Boston Celtics*,60,21,.741,2nd of 5,7.24,,121.2,-0.4,97.5,1.4,91.0,-5.1,,Lost E. Div. Finals,B. Russell (60-21),B. Russell (12.2)
1965-66,NBA,Boston Celtics*,54,26,.675,2nd of 4,4.34,,122.0,0.6,92.3,-2.6,88.3,-6.6,,Won Finals,R. Auerbach (54-26),B. Russell (11.7)
1964-65,NBA,Boston Celtics*,62,18,.775,1st of 4,7.46,,123.6,6.3,90.9,-2.7,84.2,-9.4,,Won Finals,R. Auerbach (62-18),B. Russell (16.9)
1963-64,NBA,Boston Celtics*,59,21,.738,1st of 4,6.93,,125.0,11.8,90.1,-4.5,83.8,-10.8,,Won Finals,R. Auerbach (59-21),B. Russell (17.3)
1962-63,NBA,Boston Celtics*,58,22,.725,1st of 4,6.38,,127.3,12.3,93.0,-2.9,87.4,-8.5,,Won Finals,R. Auerbach (58-22),B. Russell (13.5)
1961-62,NBA,Boston Celtics*,60,20,.750,1st of 4,8.25,,130.8,9.5,92.1,-1.5,85.1,-8.5,,Won Finals,R. Auerbach (60-20),B. Russell (15.5)
1960-61,NBA,Boston Celtics*,57,22,.722,1st of 4,4.94,,134.4,10.9,88.7,-3.4,84.5,-7.6,,Won Finals,R. Auerbach (57-22),B. Russell (13.0)
1959-60,NBA,Boston Celtics*,59,16,.787,1st of 4,7.62,,136.3,14.0,91.0,-0.1,84.9,-6.2,,Won Finals,R. Auerbach (59-16),B. Russell (13.8)
1958-59,NBA,Boston Celtics*,52,20,.722,1st of 4,5.84,,128.7,16.7,89.5,-0.7,84.5,-5.7,,Won Finals,R. Auerbach (52-20),B. Russell (12.9)
1957-58,NBA,Boston Celtics*,49,23,.681,1st of 4,5.02,,124.8,7.8,88.0,-0.8,83.6,-5.2,,Lost Finals,R. Auerbach (49-23),B. Russell (11.3)
1956-57,NBA,Boston Celtics*,44,28,.611,1st of 4,4.78,,118.0,13.1,88.5,-0.4,84.0,-4.9,,Won Finals,R. Auerbach (44-28),B. Sharman (10.4)
1955-56,NBA,Boston Celtics*,39,33,.542,2nd of 4,0.72,,114.5,11.7,92.2,1.9,91.7,1.4,,Lost E. Div. Semis,R. Auerbach (39-33),B. Sharman (8.8)
1954-55,NBA,Boston Celtics*,36,36,.500,3rd of 5,-0.03,,108.6,10.5,93.0,3.2,93.0,3.2,,Lost E. Div. Finals,R. Auerbach (36-36),E. Macauley (8.9)
1953-54,NBA,Boston Celtics*,42,30,.583,3rd of 5,1.97,,93.0,9.4,92.5,5.0,90.0,2.5,,Lost E. Div. Finals,R. Auerbach (42-30),E. Macauley (14.6)
1952-53,NBA,Boston Celtics*,46,25,.648,3rd of 5,1.94,,94.7,14.2,91.7,3.7,89.3,1.6,,Lost E. Div. Finals,R. Auerbach (46-25),E. Macauley (14.5)
1951-52,NBA,Boston Celtics*,39,27,.591,2nd of 5,3.60,,100.0,14.2,90.4,3.5,86.4,-0.5,,Lost E. Div. Semis,R. Auerbach (39-27),E. Macauley (13.8)
1950-51,NBA,Boston Celtics*,39,30,.565,2nd of 6,-0.41,,95.9,10.4,87.3,2.2,87.6,2.5,,Lost E. Div. Semis,R. Auerbach (39-30),E. Macauley (15.9)
1949-50,NBA,Boston Celtics,22,46,.324,6th of 6,-1.73,,,,,,,,,,A. Julian (22-46),B. Kinney (4.8)
1948-49,BAA,Boston Celtics,25,35,.417,5th of 6,-2.76,,,,,,,,,,A. Julian (25-35),J. Seminoff (5.4)
1947-48,BAA,Boston Celtics*,20,28,.417,3rd of 4,-3.76,,,,,,,,,Lost Quarterfinals,J. Russell (20-28),E. Sadowski (9.3)
1946-47,BAA,Boston Celtics,22,38,.367,5th of 6,-4.45,,,,,,,,,,J. Russell (22-38),C. Simmons (6.1)
