Season,Lg,Team,W,L,W/L%,Finish,SRS,,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,,Playoffs,Coaches,Top WS
2008-09,NBA,Los Angeles Clippers,19,63,.232,4th of 5,-8.47,,92.1,0.4,102.3,-6.0,111.7,3.4,,,M. Dunleavy (19-63),M. Camby (5.2)
2007-08,NBA,Los Angeles Clippers,23,59,.280,5th of 5,-6.56,,92.1,-0.3,101.2,-6.3,109.1,1.6,,,M. Dunleavy (23-59),C. Maggette (6.9)
2006-07,NBA,Los Angeles Clippers,40,42,.488,4th of 5,-0.07,,90.8,-1.1,105.1,-1.4,105.6,-0.9,,,M. Dunleavy (40-42),E. Brand (11.5)
2005-06,NBA,Los Angeles Clippers*,47,35,.573,2nd of 5,1.75,,91.7,1.2,105.3,-0.9,103.6,-2.6,,Lost W. Conf. Semis,M. Dunleavy (47-35),E. Brand (14.8)
2004-05,NBA,Los Angeles Clippers,37,45,.451,3rd of 5,-0.47,,89.1,-1.8,105.5,-0.6,106.4,0.3,,,M. Dunleavy (37-45),E. Brand (10.6)
2003-04,NBA,Los Angeles Clippers,28,54,.341,7th of 7,-3.74,,91.0,0.9,103.5,0.6,108.5,5.6,,,M. Dunleavy (28-54),E. Brand (9.7)
2002-03,NBA,Los Angeles Clippers,27,55,.329,7th of 7,-3.45,,91.3,0.3,102.3,-1.3,106.8,3.2,,,A. Gentry (19-39) D. Johnson (8-16),E. Brand (7.6)
2001-02,NBA,Los Angeles Clippers,39,43,.476,5th of 7,-0.09,,90.1,-0.6,105.5,1.0,106.0,1.5,,,A. Gentry (39-43),E. Brand (13.6)
2000-01,NBA,Los Angeles Clippers,31,51,.378,6th of 7,-2.23,,89.6,-1.7,101.3,-1.7,104.5,1.5,,,A. Gentry (31-51),J. McInnis (6.9)
1999-00,NBA,Los Angeles Clippers,15,67,.183,7th of 7,-10.73,,93.9,0.8,97.8,-6.3,110.1,6.0,,,C. Ford (11-34) J. Todd (4-33),D. Anderson (3.3)
1998-99,NBA,Los Angeles Clippers,9,41,.180,7th of 7,-8.94,,89.5,0.6,100.0,-2.2,109.7,7.5,,,C. Ford (9-41),T. Nesby (3.1)
1997-98,NBA,Los Angeles Clippers,17,65,.207,7th of 7,-7.53,,92.4,2.1,103.3,-1.7,111.2,6.2,,,B. Fitch (17-65),L. Murray (4.9)
1996-97,NBA,Los Angeles Clippers*,36,46,.439,5th of 7,-2.66,,91.3,1.2,105.1,-1.6,107.6,0.9,,Lost W. Conf. 1st Rnd.,B. Fitch (36-46),L. Vaught (6.3)
1995-96,NBA,Los Angeles Clippers,29,53,.354,7th of 7,-3.46,,93.2,1.4,106.5,-1.1,110.3,2.7,,,B. Fitch (29-53),L. Vaught (6.3)
1994-95,NBA,Los Angeles Clippers,17,65,.207,7th of 7,-8.43,,94.3,1.4,101.5,-6.8,111.1,2.8,,,B. Fitch (17-65),L. Vaught (5.5)
1993-94,NBA,Los Angeles Clippers,27,55,.329,7th of 7,-5.28,,99.6,4.5,102.9,-3.4,108.6,2.3,,,B. Weiss (27-55),L. Vaught (5.5)
1992-93,NBA,Los Angeles Clippers*,41,41,.500,4th of 7,0.33,,99.1,2.3,107.4,-0.6,107.1,-0.9,,Lost W. Conf. 1st Rnd.,L. Brown (41-41),M. Jackson (7.9)
1991-92,NBA,Los Angeles Clippers*,45,37,.549,5th of 7,1.10,,96.5,-0.1,105.8,-2.4,104.7,-3.5,,Lost W. Conf. 1st Rnd.,M. Schuler (21-24) M. Calvin (1-1) L. Brown (23-12),D. Manning (9.8)
1990-91,NBA,Los Angeles Clippers,31,51,.378,6th of 7,-3.16,,99.9,2.1,103.0,-4.9,106.5,-1.4,,,M. Schuler (31-51),C. Smith (7.4)
1989-90,NBA,Los Angeles Clippers,30,52,.366,6th of 7,-2.80,,99.2,0.9,104.0,-4.1,107.4,-0.7,,,D. Casey (30-52),C. Smith (9.4)
1988-89,NBA,Los Angeles Clippers,21,61,.256,7th of 7,-9.50,,104.4,3.8,100.8,-7.0,110.2,2.4,,,G. Shue (10-28) D. Casey (11-33),B. Benjamin (5.1)
1987-88,NBA,Los Angeles Clippers,17,65,.207,6th of 6,-10.24,,100.8,1.2,97.4,-10.6,107.6,-0.4,,,G. Shue (17-65),M. Cage (6.7)
1986-87,NBA,Los Angeles Clippers,12,70,.146,6th of 6,-11.00,,102.7,1.9,101.2,-7.1,112.3,4.0,,,D. Chaney (12-70),M. Cage (7.2)
