Season,Lg,Team,W,L,W/L%,Finish,SRS,,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,,Playoffs,Coaches,Top WS
1960-61,NBA,Los Angeles Lakers*,36,43,.456,2nd of 4,-0.11,,124.9,1.4,90.8,-1.3,90.9,-1.2,,Lost W. Div. Finals,F. Schaus (36-43),E. Baylor (14.8)
1959-60,NBA,Minneapolis Lakers*,25,50,.333,3rd of 4,-4.14,,121.2,-1.1,87.7,-3.4,91.2,0.1,,Lost W. Div. Finals,J. Castellani (11-25) J. Pollard (14-25),E. Baylor (11.5)
1958-59,NBA,Minneapolis Lakers*,33,39,.458,2nd of 4,-1.42,,115.5,3.5,90.8,0.6,91.9,1.7,,Lost Finals,J. Kundla (33-39),E. Baylor (9.8)
1957-58,NBA,Minneapolis Lakers,19,53,.264,4th of 4,-5.78,,118.8,1.8,88.0,-0.8,93.3,4.5,,,G. Mikan (9-30) J. Kundla (10-23),V. Mikkelsen (6.5)
1956-57,NBA,Minneapolis Lakers*,34,38,.472,2nd of 4,-0.89,,114.8,9.9,88.5,-0.4,89.2,0.3,,Lost W. Div. Finals,J. Kundla (34-38),C. Lovellette (8.2)
1955-56,NBA,Minneapolis Lakers*,33,39,.458,2nd of 4,-0.92,,108.0,5.2,91.5,1.2,92.4,2.1,,Lost W. Div. Semis,J. Kundla (33-39),C. Lovellette (8.1)
1954-55,NBA,Minneapolis Lakers*,40,32,.556,2nd of 4,0.96,,105.5,7.4,89.7,-0.1,88.6,-1.2,,Lost W. Div. Finals,J. Kundla (40-32),V. Mikkelsen (10.9)
1953-54,NBA,Minneapolis Lakers*,46,26,.639,1st of 4,2.71,,93.5,9.9,86.8,-0.7,83.5,-4.0,,Won Finals,J. Kundla (46-26),G. Mikan (12.7)
1952-53,NBA,Minneapolis Lakers*,48,22,.686,1st of 5,5.54,,93.7,13.2,90.1,2.1,83.6,-4.1,,Won Finals,J. Kundla (48-22),G. Mikan (14.6)
1951-52,NBA,Minneapolis Lakers*,40,26,.606,2nd of 5,5.28,,97.2,11.4,85.3,-1.6,79.3,-7.6,,Won Finals,J. Kundla (40-26),G. Mikan (14.4)
1950-51,NBA,Minneapolis Lakers*,44,24,.647,1st of 5,4.79,,94.8,9.3,86.4,1.3,80.7,-4.4,,Lost W. Div. Finals,J. Kundla (44-24),G. Mikan (23.4)
1949-50,NBA,Minneapolis Lakers*,51,17,.750,1st of 5,8.25,,,,,,,,,Won Finals,J. Kundla (51-17),G. Mikan (21.1)
1948-49,BAA,Minneapolis Lakers*,44,16,.733,2nd of 6,6.80,,,,,,,,,Won Finals,J. Kundla (44-16),G. Mikan (20.9)
