Team,Season,Place
Atalanta,2014,17
Cagliari Calcio,2014,18
Parma FC,2014,19
AC Cesena,2014,20
Juventus,2015,1
SSC Napoli,2015,2
AS Roma,2015,3
Inter,2015,4
ACF Fiorentina,2015,5
Sassuolo Calcio,2015,6
AC Milan,2015,7
Lazio Roma,2015,8
Chievo Verona,2015,9
Empoli FC,2015,10
Genoa CFC,2015,11
Torino FC,2015,12
Atalanta,2015,13
Bologna FC,2015,14
Sampdoria,2015,15
US Palermo,2015,16
Udinese Calcio,2015,17
Carpi FC,2015,18
Frosinone Calcio,2015,19
Hellas Verona,2015,20
Juventus,2016,1
AS Roma,2016,2
SSC Napoli,2016,3
Atalanta,2016,4
Lazio Roma,2016,5
AC Milan,2016,6
Inter,2016,7
ACF Fiorentina,2016,8
Torino FC,2016,9
Sampdoria,2016,10
Cagliari Calcio,2016,11
Sassuolo Calcio,2016,12
Udinese Calcio,2016,13
Chievo Verona,2016,14
Bologna FC,2016,15
Genoa CFC,2016,16
FC Crotone,2016,17
Empoli FC,2016,18
US Palermo,2016,19
Pescara Calcio,2016,20
Juventus,2017,1
SSC Napoli,2017,2
AS Roma,2017,3
Inter,2017,4
Lazio Roma,2017,5
AC Milan,2017,6
Atalanta,2017,7
ACF Fiorentina,2017,8
Torino FC,2017,9
Sampdoria,2017,10
Sassuolo Calcio,2017,11
Genoa CFC,2017,12
Chievo Verona,2017,13
Udinese Calcio,2017,14
Bologna FC,2017,15
Cagliari Calcio,2017,16
SPAL 1907,2017,17
FC Crotone,2017,18
Hellas Verona,2017,19
Benevento,2017,20
