Team,Season,Place
Athletic Bilbao,1949,6
Celta Vigo,1949,7
Real Sociedad,1949,8
Sevilla FC,1949,9
Real Valladolid,1949,10
Espanyol Barcelona,1949,11
CD Malaga,1949,12
Gimnastic,1949,13
Real Oviedo,1949,14
Atletico Madrid,1950,1
Sevilla FC,1950,2
Valencia CF,1950,3
FC Barcelona,1950,4
Real Sociedad,1950,5
Athletic Bilbao,1950,6
Celta Vigo,1950,7
Real Valladolid,1950,8
Real Madrid,1950,9
Deportivo La Coruna,1950,10
Espanyol Barcelona,1950,11
Racing Santander,1950,12
CD Malaga,1950,13
Real Murcia,1950,14
CD Alcoyano,1950,15
UE Lleida,1950,16
FC Barcelona,1951,1
Athletic Bilbao,1951,2
Real Madrid,1951,3
Atletico Madrid,1951,4
Valencia CF,1951,5
Sevilla FC,1951,6
Espanyol Barcelona,1951,7
Celta Vigo,1951,8
Real Valladolid,1951,9
Real Sociedad,1951,10
Deportivo La Coruna,1951,11
Real Zaragoza,1951,12
Sporting Gijon,1951,13
Racing Santander,1951,14
UD Las Palmas,1951,15
Atletico Tetuan,1951,16
FC Barcelona,1952,1
Real Madrid,1952,2
Valencia CF,1952,3
Espanyol Barcelona,1952,4
Sevilla FC,1952,5
Athletic Bilbao,1952,6
Atletico Madrid,1952,7
Real Oviedo,1952,8
Sporting Gijon,1952,9
Real Sociedad,1952,10
Racing Santander,1952,11
Real Valladolid,1952,12
Celta Vigo,1952,13
Deportivo La Coruna,1952,14
CD Malaga,1952,15
Real Zaragoza,1952,16
Real Madrid,1953,1
FC Barcelona,1953,2
Valencia CF,1953,3
Espanyol Barcelona,1953,4
Sevilla FC,1953,5
Athletic Bilbao,1953,6
Deportivo La Coruna,1953,7
Racing Santander,1953,8
Celta Vigo,1953,9
Real Valladolid,1953,10
Atletico Madrid,1953,11
Real Sociedad,1953,12
CA Osasuna,1953,13
Real Jaen,1953,14
Real Oviedo,1953,15
Sporting Gijon,1953,16
Real Madrid,1954,1
FC Barcelona,1954,2
Athletic Bilbao,1954,3
Sevilla FC,1954,4
Valencia CF,1954,5
Hercules CF,1954,6
Deportivo La Coruna,1954,7
Atletico Madrid,1954,8
Real Valladolid,1954,9
CD Alaves,1954,10
Celta Vigo,1954,11
UD Las Palmas,1954,12
Espanyol Barcelona,1954,13
Real Sociedad,1954,14
Racing Santander,1954,15
CD Malaga,1954,16
Athletic Bilbao,1955,1
FC Barcelona,1955,2
Real Madrid,1955,3
Sevilla FC,1955,4
Atletico Madrid,1955,5
Valencia CF,1955,6
Espanyol Barcelona,1955,7
Real Valladolid,1955,8
Real Sociedad,1955,9
Celta Vigo,1955,10
UD Las Palmas,1955,11
Deportivo La Coruna,1955,12
Real Murcia,1955,13
CD Alaves,1955,14
CD Leonesa,1955,15
Hercules CF,1955,16
Real Madrid,1956,1
Sevilla FC,1956,2
FC Barcelona,1956,3
Athletic Bilbao,1956,4
Atletico Madrid,1956,5
CA Osasuna,1956,6
Espanyol Barcelona,1956,7
Real Valladolid,1956,8
Real Zaragoza,1956,9
Valencia CF,1956,10
UD Las Palmas,1956,11
Real Sociedad,1956,12
Deportivo La Coruna,1956,13
Real Jaen,1956,14
Celta Vigo,1956,15
CD Condal,1956,16
Real Madrid,1957,1
Atletico Madrid,1957,2
FC Barcelona,1957,3
CA Osasuna,1957,4
Valencia CF,1957,5
Athletic Bilbao,1957,6
Celta Vigo,1957,7
Espanyol Barcelona,1957,8
Real Sociedad,1957,9
Granada CF,1957,10
Sporting Gijon,1957,11
Sevilla FC,1957,12
UD Las Palmas,1957,13
Real Zaragoza,1957,14
Real Valladolid,1957,15
Real Jaen,1957,16
FC Barcelona,1958,1
Real Madrid,1958,2
Athletic Bilbao,1958,3
Valencia CF,1958,4
Real Betis,1958,5
Atletico Madrid,1958,6
CA Osasuna,1958,7
Real Zaragoza,1958,8
Espanyol Barcelona,1958,9
Sevilla FC,1958,10
Real Oviedo,1958,11
Real Sociedad,1958,12
Granada CF,1958,13
UD Las Palmas,1958,14
Sporting Gijon,1958,15
Celta Vigo,1958,16
FC Barcelona,1959,1
Real Madrid,1959,2
Athletic Bilbao,1959,3
Sevilla FC,1959,4
Atletico Madrid,1959,5
Real Betis,1959,6
Real Oviedo,1959,7
Espanyol Barcelona,1959,8
Valencia CF,1959,9
Elche CF,1959,10
Real Valladolid,1959,11
Real Zaragoza,1959,12
Granada CF,1959,13
Real Sociedad,1959,14
