Team,Season,Place
Deportivo La Coruna,1997,12
Real Zaragoza,1997,13
Racing Santander,1997,14
UD Salamanca,1997,15
CD Tenerife,1997,16
SD Compostela,1997,17
Real Oviedo,1997,18
CP Merida,1997,19
Sporting Gijon,1997,20
FC Barcelona,1998,1
Real Madrid,1998,2
RCD Mallorca,1998,3
Valencia CF,1998,4
Celta Vigo,1998,5
Deportivo La Coruna,1998,6
Espanyol Barcelona,1998,7
Athletic Bilbao,1998,8
Real Zaragoza,1998,9
Real Sociedad,1998,10
Real Betis,1998,11
Real Valladolid,1998,12
Atletico Madrid,1998,13
Real Oviedo,1998,14
Racing Santander,1998,15
CD Alaves,1998,16
CF Extremadura,1998,17
Villarreal CF,1998,18
CD Tenerife,1998,19
UD Salamanca,1998,20
Deportivo La Coruna,1999,1
FC Barcelona,1999,2
Valencia CF,1999,3
Real Zaragoza,1999,4
Real Madrid,1999,5
CD Alaves,1999,6
Celta Vigo,1999,7
Real Valladolid,1999,8
Rayo Vallecano,1999,9
RCD Mallorca,1999,10
Athletic Bilbao,1999,11
Malaga CF,1999,12
Real Sociedad,1999,13
Espanyol Barcelona,1999,14
Racing Santander,1999,15
Real Oviedo,1999,16
CD Numancia,1999,17
Real Betis,1999,18
Atletico Madrid,1999,19
Sevilla FC,1999,20
Real Madrid,2000,1
Deportivo La Coruna,2000,2
RCD Mallorca,2000,3
FC Barcelona,2000,4
Valencia CF,2000,5
Celta Vigo,2000,6
Villarreal CF,2000,7
Malaga CF,2000,8
Espanyol Barcelona,2000,9
CD Alaves,2000,10
UD Las Palmas,2000,11
Real Sociedad,2000,12
Athletic Bilbao,2000,13
Rayo Vallecano,2000,14
Real Zaragoza,2000,15
CA Osasuna,2000,16
Real Valladolid,2000,17
Real Oviedo,2000,18
Racing Santander,2000,19
CD Numancia,2000,20
Valencia CF,2001,1
Deportivo La Coruna,2001,2
Real Madrid,2001,3
FC Barcelona,2001,4
Celta Vigo,2001,5
Real Betis,2001,6
CD Alaves,2001,7
Sevilla FC,2001,8
Athletic Bilbao,2001,9
Malaga CF,2001,10
Rayo Vallecano,2001,11
Real Valladolid,2001,12
Real Sociedad,2001,13
Espanyol Barcelona,2001,14
Villarreal CF,2001,15
RCD Mallorca,2001,16
CA Osasuna,2001,17
UD Las Palmas,2001,18
CD Tenerife,2001,19
Real Zaragoza,2001,20
Real Madrid,2002,1
Real Sociedad,2002,2
Deportivo La Coruna,2002,3
Celta Vigo,2002,4
Valencia CF,2002,5
FC Barcelona,2002,6
Athletic Bilbao,2002,7
Real Betis,2002,8
RCD Mallorca,2002,9
Sevilla FC,2002,10
CA Osasuna,2002,11
Atletico Madrid,2002,12
Malaga CF,2002,13
Real Valladolid,2002,14
Villarreal CF,2002,15
Racing Santander,2002,16
Espanyol Barcelona,2002,17
Recreativo Huelva,2002,18
CD Alaves,2002,19
Rayo Vallecano,2002,20
Valencia CF,2003,1
FC Barcelona,2003,2
Deportivo La Coruna,2003,3
Real Madrid,2003,4
Athletic Bilbao,2003,5
Sevilla FC,2003,6
Atletico Madrid,2003,7
Villarreal CF,2003,8
Real Betis,2003,9
Malaga CF,2003,10
RCD Mallorca,2003,11
Real Zaragoza,2003,12
CA Osasuna,2003,13
Albacete,2003,14
Real Sociedad,2003,15
Racing Santander,2003,16
Espanyol Barcelona,2003,17
Real Valladolid,2003,18
Celta Vigo,2003,19
Real Murcia,2003,20
FC Barcelona,2004,1
Real Madrid,2004,2
Villarreal CF,2004,3
Real Betis,2004,4
Espanyol Barcelona,2004,5
Sevilla FC,2004,6
Valencia CF,2004,7
Deportivo La Coruna,2004,8
Athletic Bilbao,2004,9
Malaga CF,2004,10
Atletico Madrid,2004,11
Real Zaragoza,2004,12
Getafe CF,2004,13
Real Sociedad,2004,14
CA Osasuna,2004,15
Racing Santander,2004,16
RCD Mallorca,2004,17
Levante UD,2004,18
CD Numancia,2004,19
Albacete,2004,20
FC Barcelona,2005,1
Real Madrid,2005,2
Valencia CF,2005,3
CA Osasuna,2005,4
Sevilla FC,2005,5
Celta Vigo,2005,6
Villarreal CF,2005,7
Deportivo La Coruna,2005,8
Getafe CF,2005,9
Atletico Madrid,2005,10
Real Zaragoza,2005,11
Athletic Bilbao,2005,12
RCD Mallorca,2005,13
Real Betis,2005,14
Espanyol Barcelona,2005,15
Real Sociedad,2005,16
Racing Santander,2005,17
CD Alaves,2005,18
Cadiz CF,2005,19
Malaga CF,2005,20
Real Madrid,2006,1
FC Barcelona,2006,2
Sevilla FC,2006,3
Valencia CF,2006,4
Villarreal CF,2006,5
Real Zaragoza,2006,6
Atletico Madrid,2006,7
Recreativo Huelva,2006,8
Getafe CF,2006,9
Racing Santander,2006,10
Espanyol Barcelona,2006,11
RCD Mallorca,2006,12
Deportivo La Coruna,2006,13
CA Osasuna,2006,14
Levante UD,2006,15
Real Betis,2006,16
Athletic Bilbao,2006,17
Celta Vigo,2006,18
Real Sociedad,2006,19
Gimnastic,2006,20
Real Madrid,2007,1
Villarreal CF,2007,2
FC Barcelona,2007,3
Atletico Madrid,2007,4
Sevilla FC,2007,5
Racing Santander,2007,6
RCD Mallorca,2007,7
UD Almeria,2007,8
Deportivo La Coruna,2007,9
Valencia CF,2007,10
Athletic Bilbao,2007,11
Espanyol Barcelona,2007,12
Real Betis,2007,13
Getafe CF,2007,14
Real Valladolid,2007,15
Recreativo Huelva,2007,16
CA Osasuna,2007,17
Real Zaragoza,2007,18
Real Murcia,2007,19
Levante UD,2007,20
FC Barcelona,2008,1
Real Madrid,2008,2
Sevilla FC,2008,3
Atletico Madrid,2008,4
Villarreal CF,2008,5
Valencia CF,2008,6
Deportivo La Coruna,2008,7
Malaga CF,2008,8
RCD Mallorca,2008,9
Espanyol Barcelona,2008,10
UD Almeria,2008,11
Racing Santander,2008,12
Athletic Bilbao,2008,13
Sporting Gijon,2008,14
CA Osasuna,2008,15
Real Valladolid,2008,16
Getafe CF,2008,17
Real Betis,2008,18
CD Numancia,2008,19
Recreativo Huelva,2008,20
FC Barcelona,2009,1
Real Madrid,2009,2
Valencia CF,2009,3
Sevilla FC,2009,4
RCD Mallorca,2009,5
Getafe CF,2009,6
Villarreal CF,2009,7
Athletic Bilbao,2009,8
Atletico Madrid,2009,9
Deportivo La Coruna,2009,10
Espanyol Barcelona,2009,11
CA Osasuna,2009,12
UD Almeria,2009,13
Real Zaragoza,2009,14
Sporting Gijon,2009,15
Racing Santander,2009,16
Malaga CF,2009,17
Real Valladolid,2009,18
CD Tenerife,2009,19
Xerez CD,2009,20
FC Barcelona,2010,1
Real Madrid,2010,2
Valencia CF,2010,3
Villarreal CF,2010,4
Athletic Bilbao,2010,5
Sevilla FC,2010,6
Atletico Madrid,2010,7
Espanyol Barcelona,2010,8
CA Osasuna,2010,9
Sporting Gijon,2010,10
Malaga CF,2010,11
Racing Santander,2010,12
Real Zaragoza,2010,13
Levante UD,2010,14
Real Sociedad,2010,15
Getafe CF,2010,16
RCD Mallorca,2010,17
Deportivo La Coruna,2010,18
Hercules CF,2010,19
UD Almeria,2010,20
Real Madrid,2011,1
FC Barcelona,2011,2
Valencia CF,2011,3
Malaga CF,2011,4
Atletico Madrid,2011,5
Levante UD,2011,6
CA Osasuna,2011,7
RCD Mallorca,2011,8
Sevilla FC,2011,9
Athletic Bilbao,2011,10
Getafe CF,2011,11
Real Sociedad,2011,12
Real Betis,2011,13
Espanyol Barcelona,2011,14
Rayo Vallecano,2011,15
Real Zaragoza,2011,16
Granada CF,2011,17
Villarreal CF,2011,18
Sporting Gijon,2011,19
Racing Santander,2011,20
FC Barcelona,2012,1
Real Madrid,2012,2
Atletico Madrid,2012,3
Real Sociedad,2012,4
Valencia CF,2012,5
Malaga CF,2012,6
Real Betis,2012,7
Rayo Vallecano,2012,8
Sevilla FC,2012,9
Getafe CF,2012,10
Levante UD,2012,11
Athletic Bilbao,2012,12
Espanyol Barcelona,2012,13
Real Valladolid,2012,14
Granada CF,2012,15
CA Osasuna,2012,16
Celta Vigo,2012,17
RCD Mallorca,2012,18
Deportivo La Coruna,2012,19
Real Zaragoza,2012,20
Atletico Madrid,2013,1
FC Barcelona,2013,2
Real Madrid,2013,3
Athletic Bilbao,2013,4
Sevilla FC,2013,5
Villarreal CF,2013,6
Real Sociedad,2013,7
Valencia CF,2013,8
Celta Vigo,2013,9
Levante UD,2013,10
Malaga CF,2013,11
Rayo Vallecano,2013,12
Getafe CF,2013,13
Espanyol Barcelona,2013,14
Granada CF,2013,15
Elche CF,2013,16
UD Almeria,2013,17
CA Osasuna,2013,18
Real Valladolid,2013,19
Real Betis,2013,20
FC Barcelona,2014,1
Real Madrid,2014,2
Atletico Madrid,2014,3
Valencia CF,2014,4
Sevilla FC,2014,5
Villarreal CF,2014,6
Athletic Bilbao,2014,7
Celta Vigo,2014,8
Malaga CF,2014,9
Espanyol Barcelona,2014,10
Rayo Vallecano,2014,11
Real Sociedad,2014,12
Elche CF,2014,13
Levante UD,2014,14
Getafe CF,2014,15
Granada CF,2014,16
SD Eibar,2014,17
Deportivo La Coruna,2014,18
UD Almeria,2014,19
Cordoba CF,2014,20
FC Barcelona,2015,1
Real Madrid,2015,2
Atletico Madrid,2015,3
Villarreal CF,2015,4
Athletic Bilbao,2015,5
Celta Vigo,2015,6
Sevilla FC,2015,7
Malaga CF,2015,8
Real Sociedad,2015,9
Real Betis,2015,10
UD Las Palmas,2015,11
Valencia CF,2015,12
Espanyol Barcelona,2015,13
SD Eibar,2015,14
Deportivo La Coruna,2015,15
Granada CF,2015,16
Sporting Gijon,2015,17
Rayo Vallecano,2015,18
Getafe CF,2015,19
Levante UD,2015,20
Real Madrid,2016,1
FC Barcelona,2016,2
Atletico Madrid,2016,3
Sevilla FC,2016,4
Villarreal CF,2016,5
Real Sociedad,2016,6
Athletic Bilbao,2016,7
Espanyol Barcelona,2016,8
CD Alaves,2016,9
SD Eibar,2016,10
Malaga CF,2016,11
Valencia CF,2016,12
Celta Vigo,2016,13
UD Las Palmas,2016,14
Real Betis,2016,15
Deportivo La Coruna,2016,16
CD Leganes,2016,17
Sporting Gijon,2016,18
CA Osasuna,2016,19
Granada CF,2016,20
