Player,Club,Kicks_TOT,Kicks_AVG,Handballs_TOT,Handballs_AVG,Disposals_TOT,Disposals_AVG,Cont Poss_TOT,Cont Poss_AVG,Uncont Poss_TOT,Uncont Poss_AVG,Disp eff %_TOT,Clangers_TOT,Clangers_AVG,Marks_TOT,Marks_AVG,Cont marks_TOT,Cont marks_AVG,Marks50_TOT,Marks50_AVG,Hit-outs_TOT,Hit-outs_AVG,Clearances_TOT,Clearances_AVG,Centre clr_TOT,Centre clr_AVG,Stoppages_TOT,Stoppages_AVG,Rebound50_TOT,Rebound50_AVG,Frees For_TOT,Frees For_AVG,Frees Agst_TOT,Frees Agst_AVG,Tackles_TOT,Tackles_AVG,One %s_TOT,One %s_AVG,Bounces_TOT,Bounces_AVG,Inside50_TOT,Inside50_AVG,Goals_TOT,Goals_AVG,Behinds_TOT,Behinds_AVG,Goal assists_TOT,Goal assists_AVG,Goal acc %_TOT,Matches_TOT,Time On Ground %_TOT
Angelica Gogos,WB,27,3.9,27,3.9,54,7.7,32,4.6,23,3.3,61.1,4,0.6,2,0.3,0,0,0,0,0,0,11,1.6,1,0.1,10,1.4,4,0.6,11,1.6,1,0.1,43,6.1,5,0.7,0,0,5,0.7,1,0.1,2,0.3,0,0,25,7,70.6
Anne Hatchard,ADEL,20,2.9,22,3.1,42,6,31,4.4,14,2,66.7,7,1,9,1.3,1,0.1,1,0.1,4,0.6,0,0,0,0,0,0,1,0.1,9,1.3,3,0.4,9,1.3,11,1.6,0,0,3,0.4,0,0,0,0,0,0,0,7,67.1
Ashleigh Guest,GWS,46,6.6,22,3.1,68,9.7,33,4.7,35,5,63.2,9,1.3,13,1.9,0,0,0,0,3,0.4,14,2,6,0.9,8,1.1,7,1,7,1,4,0.6,29,4.1,1,0.1,1,0.1,10,1.4,0,0,0,0,1,0.1,0,7,79.5
Ashley Sharp,FRE,15,2.1,16,2.3,31,4.4,12,1.7,21,3,71,10,1.4,4,0.6,0,0,2,0.3,0,0,2,0.3,0,0,2,0.3,2,0.3,0,0,5,0.7,12,1.7,4,0.6,1,0.1,3,0.4,4,0.6,3,0.4,1,0.1,50,7,77.3
Bailey Hunt,WB,14,2,23,3.3,37,5.3,19,2.7,18,2.6,73,4,0.6,4,0.6,1,0.1,0,0,0,0,2,0.3,0,0,2,0.3,6,0.9,2,0.3,4,0.6,16,2.3,9,1.3,0,0,0,0,0,0,0,0,0,0,0,7,90.3
Beatrice Devlyn,FRE,6,3,0,0,6,3,2,1,4,2,16.7,2,1,0,0,0,0,0,0,0,0,1,0.5,0,0,1,0.5,1,0.5,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,46.9
Belinda Smith,FRE,44,6.3,22,3.1,66,9.4,34,4.9,32,4.6,60.6,8,1.1,13,1.9,1,0.1,0,0,0,0,2,0.3,0,0,2,0.3,13,1.9,3,0.4,1,0.1,16,2.3,5,0.7,2,0.3,8,1.1,0,0,0,0,1,0.1,0,7,61.8
Bianca Jakobsson,CARL,37,5.3,26,3.7,63,9,30,4.3,37,5.3,46,16,2.3,26,3.7,6,0.9,10,1.4,2,0.3,1,0.1,0,0,1,0.1,2,0.3,2,0.3,4,0.6,10,1.4,8,1.1,0,0,7,1,4,0.6,3,0.4,2,0.3,40,7,90.5
Breann Moody,CARL,24,3.4,10,1.4,34,4.9,23,3.3,8,1.1,50,11,1.6,1,0.1,0,0,0,0,83,11.9,10,1.4,3,0.4,7,1,5,0.7,3,0.4,2,0.3,5,0.7,2,0.3,0,0,2,0.3,1,0.1,0,0,0,0,100,7,53.6
Breanna Koenen,BL,34,4.3,17,2.1,51,6.4,26,3.3,25,3.1,56.9,12,1.5,13,1.6,1,0.1,0,0,0,0,8,1,4,0.5,4,0.5,6,0.8,7,0.9,2,0.3,19,2.4,6,0.8,0,0,5,0.6,0,0,0,0,0,0,0,8,64.3
Bree White,COLL,32,4.6,28,4,60,8.6,43,6.1,22,3.1,55,8,1.1,6,0.9,2,0.3,3,0.4,0,0,16,2.3,6,0.9,10,1.4,1,0.1,3,0.4,2,0.3,22,3.1,11,1.6,0,0,2,0.3,1,0.1,0,0,0,0,100,7,60.4
Brianna Davey,CARL,58,9.7,56,9.3,114,19,63,10.5,48,8,67.5,26,4.3,23,3.8,7,1.2,2,0.3,0,0,8,1.3,1,0.2,7,1.2,23,3.8,2,0.3,9,1.5,17,2.8,8,1.3,7,1.2,10,1.7,1,0.2,0,0,0,0,33.3,6,94.7
Brianna Green,FRE,5,2.5,6,3,11,5.5,6,3,7,3.5,72.7,5,2.5,2,1,0,0,0,0,0,0,2,1,1,0.5,1,0.5,0,0,0,0,3,1.5,5,2.5,1,0.5,0,0,1,0.5,0,0,0,0,0,0,0,2,50.8
Britt Tully,GWS,53,7.6,19,2.7,72,10.3,53,7.6,19,2.7,48.6,13,1.9,5,0.7,1,0.1,0,0,0,0,22,3.1,7,1,15,2.1,8,1.1,3,0.4,3,0.4,28,4,4,0.6,0,0,11,1.6,0,0,2,0.3,0,0,0,7,62.5
Brittany Bonnici,COLL,46,6.6,18,2.6,64,9.1,29,4.1,35,5,43.8,15,2.1,8,1.1,0,0,0,0,0,0,8,1.1,1,0.1,7,1,3,0.4,6,0.9,5,0.7,32,4.6,7,1,1,0.1,5,0.7,0,0,0,0,0,0,0,7,53.5
Brittany Gibson,BL,46,5.8,27,3.4,73,9.1,39,4.9,34,4.3,63,15,1.9,14,1.8,0,0,2,0.3,0,0,14,1.8,4,0.5,10,1.3,6,0.8,5,0.6,8,1,19,2.4,5,0.6,4,0.5,15,1.9,2,0.3,3,0.4,0,0,33.3,8,78.3
Brooke Lochland,WB,47,6.7,17,2.4,64,9.1,30,4.3,31,4.4,39.1,16,2.3,7,1,0,0,1,0.1,0,0,15,2.1,5,0.7,10,1.4,5,0.7,7,1,8,1.1,32,4.6,6,0.9,2,0.3,7,1,1,0.1,2,0.3,0,0,25,7,79.8
Brooke Patterson,MELB,23,5.8,15,3.8,38,9.5,18,4.5,20,5,65.8,6,1.5,8,2,1,0.3,0,0,0,0,2,0.5,0,0,2,0.5,6,1.5,0,0,0,0,5,1.3,3,0.8,0,0,1,0.3,0,0,0,0,0,0,0,4,66.3
Brooke Whyte,FRE,19,4.8,7,1.8,26,6.5,14,3.5,13,3.3,42.3,6,1.5,6,1.5,1,0.3,0,0,0,0,0,0,0,0,0,0,5,1.3,2,0.5,2,0.5,5,1.3,3,0.8,0,0,4,1,0,0,0,0,0,0,0,4,53.7
Caitlin Collins,BL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caitlyn Edwards,COLL,37,5.3,19,2.7,56,8,24,3.4,28,4,62.5,11,1.6,10,1.4,0,0,1,0.1,0,0,9,1.3,1,0.1,8,1.1,8,1.1,6,0.9,7,1,14,2,5,0.7,6,0.9,6,0.9,2,0.3,2,0.3,0,0,50,7,69.5
Cassie Davidson,FRE,37,5.3,5,0.7,42,6,16,2.3,17,2.4,57.1,15,2.1,14,2,2,0.3,0,0,0,0,0,0,0,0,0,0,9,1.3,5,0.7,3,0.4,18,2.6,8,1.1,4,0.6,3,0.4,0,0,0,0,0,0,0,7,78.4
Catherine Phillips,MELB,46,6.6,33,4.7,79,11.3,41,5.9,40,5.7,64.6,20,2.9,17,2.4,2,0.3,4,0.6,2,0.3,4,0.6,1,0.1,3,0.4,6,0.9,4,0.6,10,1.4,13,1.9,5,0.7,1,0.1,13,1.9,5,0.7,2,0.3,0,0,62.5,7,90.4
Cecilia McIntosh,COLL,21,3.5,17,2.8,38,6.3,21,3.5,19,3.2,65.8,7,1.2,6,1,1,0.2,1,0.2,0,0,4,0.7,1,0.2,3,0.5,4,0.7,7,1.2,4,0.7,17,2.8,9,1.5,2,0.3,8,1.3,1,0.2,0,0,0,0,100,6,80.9
Chelsea Randall,ADEL,85,10.6,28,3.5,113,14.1,70,8.8,44,5.5,60.2,29,3.6,24,3,5,0.6,2,0.3,3,0.4,13,1.6,4,0.5,9,1.1,15,1.9,11,1.4,9,1.1,39,4.9,24,3,2,0.3,24,3,2,0.3,2,0.3,1,0.1,28.6,8,97.1
Christina Bernardi,COLL,35,5.8,7,1.2,42,7,18,3,23,3.8,45.2,17,2.8,13,2.2,1,0.2,1,0.2,0,0,3,0.5,0,0,3,0.5,3,0.5,3,0.5,1,0.2,7,1.2,2,0.3,2,0.3,11,1.8,2,0.3,3,0.5,2,0.3,28.6,6,76.1
Clare Lawton,GWS,17,2.4,10,1.4,27,3.9,19,2.7,9,1.3,51.9,8,1.1,5,0.7,2,0.3,0,0,27,3.9,5,0.7,0,0,5,0.7,6,0.9,7,1,4,0.6,17,2.4,4,0.6,0,0,0,0,0,0,0,0,0,0,0,7,59.2
Codie Briggs,GWS,1,0.3,3,1,4,1.3,5,1.7,1,0.3,75,2,0.7,0,0,0,0,0,0,0,0,1,0.3,0,0,1,0.3,0,0,0,0,1,0.3,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,41.8
Courtney Clarkson,WB,12,2,7,1.2,19,3.2,11,1.8,7,1.2,52.6,4,0.7,4,0.7,1,0.2,0,0,34,5.7,4,0.7,0,0,4,0.7,2,0.3,1,0.2,3,0.5,10,1.7,3,0.5,0,0,4,0.7,1,0.2,0,0,0,0,100,6,32.3
Courtney Cramey,ADEL,60,7.5,10,1.3,70,8.8,32,4,27,3.4,67.1,8,1,16,2,2,0.3,1,0.1,0,0,9,1.1,3,0.4,6,0.8,22,2.8,13,1.6,3,0.4,19,2.4,6,0.8,0,0,7,0.9,0,0,2,0.3,1,0.1,0,8,68.5
Daisy Pearce,MELB,79,11.3,74,10.6,153,21.9,81,11.6,72,10.3,63.4,18,2.6,16,2.3,3,0.4,3,0.4,0,0,24,3.4,11,1.6,13,1.9,7,1,4,0.6,5,0.7,36,5.1,11,1.6,2,0.3,20,2.9,1,0.1,1,0.1,5,0.7,25,7,89.4
Dana Hooker,FRE,87,12.4,34,4.9,121,17.3,60,8.6,55,7.9,52.1,24,3.4,19,2.7,1,0.1,3,0.4,0,0,19,2.7,5,0.7,14,2,7,1,5,0.7,5,0.7,23,3.3,7,1,0,0,16,2.3,0,0,1,0.1,0,0,0,7,91.1
